barcode_short	sample_id	species	estimated_counts
BC13	barcode13_120_filtered	Novosphingobium hassiacum	90.21888533326066
BC14	barcode14_120_filtered	Novosphingobium hassiacum	144.69926531061307
BC14	barcode14_120_filtered	Novosphingobium flavum	27.514354233290813
BC14	barcode14_120_filtered	Novosphingobium arabidopsis	23.209534346809743
BC14	barcode14_120_filtered	Novosphingobium pituita	15.111350075733103
BC15	barcode15_120_filtered	Novosphingobium hassiacum	115.03178969677325
BC15	barcode15_120_filtered	Novosphingobium arabidopsis	24.78526672060837
BC15	barcode15_120_filtered	Novosphingobium percolationis	14.183469045203218
BC16	barcode16_120_filtered	Novosphingobium arabidopsis	108.48626868793065
BC16	barcode16_120_filtered	Novosphingobium hassiacum	83.38408521249835
BC16	barcode16_120_filtered	Novosphingobium soli	27.489925450679813
BC16	barcode16_120_filtered	Novosphingobium aromaticivorans	24.21723404161074
BC16	barcode16_120_filtered	Novosphingobium tardum	16.157903933841595
BC17	barcode17_120_filtered	Novosphingobium hassiacum	121.00094408027448
BC17	barcode17_120_filtered	Novosphingobium arabidopsis	84.91011525868832
BC17	barcode17_120_filtered	Novosphingobium soli	46.84724808903287
BC17	barcode17_120_filtered	Novosphingobium tardum	22.502939764537743
BC18	barcode18_120_filtered	Novosphingobium arabidopsis	96.87136292098384
BC18	barcode18_120_filtered	Novosphingobium hassiacum	80.95192696851974
BC18	barcode18_120_filtered	Novosphingobium soli	35.63631039491887
BC18	barcode18_120_filtered	Novosphingobium aromaticivorans	26.97865259233856
BC18	barcode18_120_filtered	Novosphingobium tardum	20.25313069597662
