barcode_short	sample_id	genus	estimated_counts
BC13	barcode13_120_filtered	Hephaestia	772.0253253809778
BC13	barcode13_120_filtered	Sphingomonas	618.2364473402182
BC13	barcode13_120_filtered	Novosphingobium	90.21888533326066
BC14	barcode14_120_filtered	Hephaestia	1161.502671983823
BC14	barcode14_120_filtered	Sphingomonas	831.1875628872564
BC14	barcode14_120_filtered	Novosphingobium	210.53450396644672
BC15	barcode15_120_filtered	Hephaestia	1025.4707488145357
BC15	barcode15_120_filtered	Sphingomonas	813.5451751453718
BC15	barcode15_120_filtered	Novosphingobium	154.00052546258485
BC16	barcode16_120_filtered	Hephaestia	1559.7371073608808
BC16	barcode16_120_filtered	Sphingomonas	1074.333366713638
BC16	barcode16_120_filtered	Novosphingobium	259.73541732656116
BC17	barcode17_120_filtered	Hephaestia	1424.1540053510375
BC17	barcode17_120_filtered	Sphingomonas	1113.10459865807
BC17	barcode17_120_filtered	Novosphingobium	275.2612471925334
BC17	barcode17_120_filtered	Parasphingomonas	28.699243177142023
BC18	barcode18_120_filtered	Hephaestia	1554.9197349670787
BC18	barcode18_120_filtered	Sphingomonas	966.8853493384424
BC18	barcode18_120_filtered	Novosphingobium	260.69138357273766
