barcode_short	sample_id	genus	species	estimated_counts
BC13	barcode13_120_filtered	Hephaestia	Hephaestia mangrovi	772.0253253809778
BC13	barcode13_120_filtered	Novosphingobium	Novosphingobium hassiacum	90.21888533326066
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas gilva	146.19734132445691
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas zeicaulis	124.0663369402058
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas arvum	66.88114211293406
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas fonticola	46.22789489028426
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas difficilis	40.99650725185107
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas beigongshangi	38.003490591031095
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas rosea	37.45343315502659
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas rustica	32.16017859481597
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas mohensis	26.120177938054347
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas sanxanigenens	23.861271401130637
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas flavalba	18.89817814752988
BC13	barcode13_120_filtered	Sphingomonas	Sphingomonas montis	17.370494992897612
BC14	barcode14_120_filtered	Hephaestia	Hephaestia mangrovi	1161.502671983823
BC14	barcode14_120_filtered	Novosphingobium	Novosphingobium hassiacum	144.69926531061307
BC14	barcode14_120_filtered	Novosphingobium	Novosphingobium flavum	27.514354233290813
BC14	barcode14_120_filtered	Novosphingobium	Novosphingobium arabidopsis	23.209534346809743
BC14	barcode14_120_filtered	Novosphingobium	Novosphingobium pituita	15.111350075733103
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas gilva	175.12247713023694
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas zeicaulis	129.29812999653595
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas arvum	109.03122850864555
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas difficilis	84.99942513717212
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas beigongshangi	78.06597401504612
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas mohensis	56.96737779499029
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas fonticola	56.10836763633089
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas rosea	38.60625947194723
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas cremea	32.56736733348696
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas rustica	31.557945555099103
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas glaciei	21.85666459355673
BC14	barcode14_120_filtered	Sphingomonas	Sphingomonas flavalba	17.006345714208415
BC15	barcode15_120_filtered	Hephaestia	Hephaestia mangrovi	1025.4707488145357
BC15	barcode15_120_filtered	Novosphingobium	Novosphingobium hassiacum	115.03178969677325
BC15	barcode15_120_filtered	Novosphingobium	Novosphingobium arabidopsis	24.78526672060837
BC15	barcode15_120_filtered	Novosphingobium	Novosphingobium percolationis	14.183469045203218
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas gilva	197.9727178634021
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas arvum	96.25575163354402
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas zeicaulis	90.41971216618404
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas beigongshangi	79.57971347718693
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas difficilis	65.72000366120068
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas mohensis	53.66518490746126
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas rosea	45.53168621700761
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas fonticola	41.62611827076192
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas hominis	32.75374166387077
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas cremea	26.81029055745531
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas lacunae	26.658950480182117
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas sanxanigenens	23.318688004634048
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas rustica	17.232390023052886
BC15	barcode15_120_filtered	Sphingomonas	Sphingomonas crocodyli	16.0002262194281
BC16	barcode16_120_filtered	Hephaestia	Hephaestia mangrovi	1559.7371073608808
BC16	barcode16_120_filtered	Novosphingobium	Novosphingobium arabidopsis	108.48626868793065
BC16	barcode16_120_filtered	Novosphingobium	Novosphingobium hassiacum	83.38408521249835
BC16	barcode16_120_filtered	Novosphingobium	Novosphingobium soli	27.489925450679813
BC16	barcode16_120_filtered	Novosphingobium	Novosphingobium aromaticivorans	24.21723404161074
BC16	barcode16_120_filtered	Novosphingobium	Novosphingobium tardum	16.157903933841595
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas gilva	270.17400446250656
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas zeicaulis	215.70500139946196
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas arvum	115.93305124767616
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas mohensis	85.03287820399466
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas sanxanigenens	64.80364118340982
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas cremea	54.12246615087944
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas rustica	48.355354842198885
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas beigongshangi	43.88263030638727
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas rosea	36.63949981569629
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas pokkalii	27.038428268742017
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas brevis	23.48371029288103
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas liriopis	22.08035757967593
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas alba	20.01786245610488
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas difficilis	17.757792502698234
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas flavalba	16.797510248602403
BC16	barcode16_120_filtered	Sphingomonas	Sphingomonas montis	12.509177752722543
BC17	barcode17_120_filtered	Hephaestia	Hephaestia mangrovi	1424.1540053510375
BC17	barcode17_120_filtered	Novosphingobium	Novosphingobium hassiacum	121.00094408027448
BC17	barcode17_120_filtered	Novosphingobium	Novosphingobium arabidopsis	84.91011525868832
BC17	barcode17_120_filtered	Novosphingobium	Novosphingobium soli	46.84724808903287
BC17	barcode17_120_filtered	Novosphingobium	Novosphingobium tardum	22.502939764537743
BC17	barcode17_120_filtered	Parasphingomonas	Parasphingomonas zepuensis	28.699243177142023
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas gilva	279.9837610519077
