phylum,cohort,mean_abundance,std_abundance,total_abundance,n_samples,prevalence
Bacillota,fuzz,0.7289567766242063,0.06783424365923248,2.186870329872619,3,3
Bacillota,dry,0.6459711755603017,0.027543973570132038,1.937913526680905,3,3
Pseudomonadota,fuzz,0.24065262277919056,0.061527078421477525,0.7219578683375717,3,3
Pseudomonadota,dry,0.23527966609943754,0.010669985285643873,0.7058389982983126,3,3
Bacteroidota,fuzz,0.010939561026501033,0.001470772950700331,0.0328186830795031,3,3
Bacteroidota,dry,0.08351559218286327,0.013888684394812608,0.2505467765485898,3,3
Gemmatimonadota,fuzz,0.005697023156058599,0.0015343710985830997,0.017091069468175797,3,3
Gemmatimonadota,dry,0.005269266283529799,0.0003664983297429484,0.0158077988505894,3,3
Myxococcota,fuzz,0.0008412199952572333,0.0003838467672838645,0.0025236599857717,3,3
Myxococcota,dry,0.005587236514838733,0.001395560979901421,0.0167617095445162,3,3
Mycoplasmatota,dry,0.005541560524307567,0.0015052395793866075,0.0166246815729227,3,3
Verrucomicrobiota,fuzz,0.0021533825154401998,0.0007173141504838721,0.006460147546320599,3,3
Verrucomicrobiota,dry,0.003114578186191933,0.0009304654092078045,0.0093437345585758,3,3
Candidatus Melainabacteria,fuzz,0.0029809257552364,0.000619027496274014,0.0089427772657092,3,3
Candidatus Melainabacteria,dry,0.0017103085384211336,0.0004117929300390454,0.005130925615263401,3,3
Actinomycetota,fuzz,0.0022095768791448333,0.001510870853333279,0.0066287306374345,3,3
Actinomycetota,dry,0.0021983224979380666,0.0005273895683310577,0.0065949674938142,3,3
Acidobacteriota,fuzz,0.0012050580931826666,0.0002551262458055546,0.003615174279548,3,3
Acidobacteriota,dry,0.0021041655418546335,0.00034315248042456054,0.0063124966255639,3,3
Abditibacteriota,fuzz,0.0005065284438659,0.00020814777724878608,0.0015195853315977,3,3
Abditibacteriota,dry,0.0021469480152125,0.00017803574819937013,0.0064408440456375,3,3
Candidatus Saccharimonadota,dry,0.0025615093559952997,0.0007126831041587206,0.007684528067985899,3,3
Armatimonadota,fuzz,0.0005561980809585,0.0001535470480124283,0.0016685942428755001,3,3
Armatimonadota,dry,0.0013307371951562332,5.227628370995389e-05,0.003992211585468699,3,3
Fusobacteriota,fuzz,0.0014906055079521331,0.00044102932491231635,0.004471816523856399,3,3
Fusobacteriota,dry,0.0003739487574223,0.00010534465840110253,0.0007478975148446,2,2
Bdellovibrionota,fuzz,0.0004492939666238,,0.0004492939666238,1,1
Bdellovibrionota,dry,0.0011642671862175,0.0006403188906737866,0.0034928015586525004,3,3
Rhodothermota,fuzz,0.0006559617959965334,0.0001812791614293273,0.0019678853879896,3,3
Rhodothermota,dry,0.0004821740531105,7.689887679319922e-05,0.000964348106221,2,2
Thermodesulfobacteriota,fuzz,0.0006734217415424501,1.4394243236460782e-05,0.0013468434830849001,2,2
Thermodesulfobacteriota,dry,0.00047921022374610003,0.00010033269974448316,0.0014376306712383,3,3
Chloroflexota,dry,0.0002861341459111666,5.333654912091064e-05,0.0008584024377334999,3,3
Deinococcota,fuzz,0.00029936705845964997,0.00012125757816304932,0.0005987341169192999,2,2
