genus,phylum,matched_genera,n_member_taxa,prevalence,mean_abundance,mean_abundance_ss1,mean_abundance_ss2,mean_reads,BC13,BC14,BC15,BC16,BC17,BC18
Sphingomonas,Pseudomonadota,Sphingomonas,25,6,0.5990149298459602,0.5525851582729066,0.6454447014190139,1848.5,0.5592734225621415,0.5189003436426117,0.5795817086139666,0.6632218844984803,0.5881374722838137,0.6849747474747475
Acetobacterium,Bacillota,Acetobacterium,1,6,0.0680406896383264,0.06889589605588158,0.06718548322077124,210.83333333333334,0.07648183556405354,0.07703321878579611,0.053172633817795106,0.06322188449848025,0.09035476718403547,0.047979797979797977
Novosphingobium,Pseudomonadota,Novosphingobium,10,6,0.06715728264148597,0.05946784674463431,0.07484671853833763,210.16666666666666,0.05019120458891013,0.06156930126002291,0.06664303438496987,0.07355623100303951,0.07427937915742794,0.07670454545454546
Sphingopyxis,Pseudomonadota,Sphingopyxis,3,6,0.062208306794492,0.08467367271410227,0.03974294087488172,188.66666666666666,0.07170172084130019,0.09936998854524627,0.08294930875576037,0.038905775075987845,0.04212860310421286,0.03819444444444445
Sphingorhabdus,Pseudomonadota,Sphingorhabdus,2,6,0.04589733347111404,0.0640750438574,0.027719623084828064,142.33333333333334,0.044933078393881457,0.09163802978235967,0.05565402339595888,0.017325227963525838,0.039634146341463415,0.026199494949494948
Desulfitobacterium,Bacillota,Desulfitobacterium,5,6,0.038872894155188145,0.06513455226893787,0.012611236041438429,107.66666666666667,0.09751434034416825,0.05641466208476518,0.041474654377880185,0.01276595744680851,0.014966740576496674,0.010101010101010102
Anaeromyxobacter,Myxococcota,Anaeromyxobacter,2,6,0.03395429040267229,0.01124066327533572,0.05666791753000886,111.16666666666667,0.010038240917782026,0.007731958762886598,0.015951790145338533,0.06048632218844985,0.06374722838137473,0.045770202020202023
Acidovorax,Pseudomonadota,Acidovorax,1,6,0.0244681882817683,0.03085501434621175,0.018081362217324853,73.33333333333333,0.030592734225621414,0.03006872852233677,0.03190358029067707,0.02006079027355623,0.01524390243902439,0.01893939393939394
Ideonella,Pseudomonadota,Ideonella,2,6,0.015592283179252889,0.025259889111825418,0.00592467724668036,45.5,0.022466539196940728,0.021764032073310423,0.031549096065225095,0.00547112462006079,0.009146341463414634,0.0031565656565656565
Hydrogenophaga,Pseudomonadota,Hydrogenophaga,1,6,0.009868827070204951,0.009249258620229224,0.010488395520180679,30.833333333333332,0.008604206500956023,0.0074455899198167235,0.011697979439914925,0.008206686930091186,0.01662971175166297,0.006628787878787879
Sphingobium,Pseudomonadota,Sphingobium,3,6,0.008774639964149905,0.004755731100760322,0.012793548827539488,28.833333333333332,0.0028680688336520078,0.0057273768613974796,0.005671747607231478,0.0121580547112462,0.018015521064301553,0.008207070707070708
Desulfomonile,Thermodesulfobacteriota,Desulfomonile,2,6,0.0082469469526386,0.00764814810117644,0.00884574580410076,25.666666666666668,0.00621414913957935,0.00715922107674685,0.00957107408720312,0.009422492401215805,0.008592017738359202,0.008522727272727272
Dehalobacter,Bacillota,Dehalobacter,4,6,0.007187884942116565,0.0020872622013300137,0.012288507682903115,23.666666666666668,0.0019120458891013384,0.002577319587628866,0.001772421127259837,0.00911854103343465,0.01385809312638581,0.013888888888888888
Flavobacterium,Bacteroidota,Flavobacterium,1,6,0.0034426815353625043,0.0033750642438719522,0.0035102988268530567,10.333333333333334,0.004780114722753346,0.0028636884306987398,0.0024813895781637717,0.0024316109422492403,0.003048780487804878,0.005050505050505051
Variovorax,Pseudomonadota,Variovorax,1,6,0.0033781635967462943,0.005357999887017902,0.0013983273064746857,9.5,0.007170172084130019,0.00429553264604811,0.004608294930875576,0.00182370820668693,0.0011086474501108647,0.0012626262626262627
Aeromonas,Pseudomonadota,Aeromonas,1,6,0.0024797190282491877,0.003110670461103899,0.0018487675953944764,7.333333333333333,0.0033460803059273425,0.003150057273768614,0.002835873803615739,0.001519756838905775,0.0005543237250554324,0.003472222222222222
Paracoccus,Pseudomonadota,Paracoccus,1,6,0.0009080345425446144,0.0012143208218204674,0.0006017482632687614,2.6666666666666665,0.0014340344168260039,0.001145475372279496,0.0010634526763559022,0.00030395136778115504,0.0005543237250554324,0.000946969696969697
Serratia,Pseudomonadota,Serratia,1,3,0.0005069039577271166,0.0010138079154542333,0.0,1.5,0.0004780114722753346,0.001145475372279496,0.0014179369018078695,0.0,0.0,0.0
Other,—,—,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
