genus,phylum,matched_genera,n_member_taxa,prevalence,mean_abundance,mean_abundance_ss1,mean_abundance_ss2,mean_reads,BC13,BC14,BC15,BC16,BC17,BC18
Fonticella,Bacillota,—,1,6,0.09612040454749425,0.11409424989851984,0.07814655919646867,4486.035712093596,0.1422087676131632,0.0891067020177039,0.1109672800646924,0.0569584473169903,0.0526879589308598,0.1247932713415559
Xylanivirga,Bacillota,—,1,6,0.06654097942041946,0.10759599338518445,0.02548596545565447,3105.8332666878086,0.1799790722503055,0.0788021113396699,0.064006796565578,0.0362543571702679,0.0123155195132238,0.0278880196834717
Acetivibrio,Bacillota,—,6,6,0.06442045444588185,0.09204565624430167,0.036795252647462036,3009.218474629309,0.0557569213508855,0.09631343659572861,0.12406661078629089,0.0327183914314867,0.044070681287219096,0.0335966852236803
Oxobacter,Bacillota,—,1,6,0.03441221806272687,0.05634604720884543,0.012478388916608301,1607.6214728518719,0.0550857216265145,0.0497477018915345,0.0642047181084873,0.0108713376809453,0.0158045595955608,0.0107592694733188
Thermoclostridium,Bacillota,—,1,6,0.034370847456351945,0.06614350452241526,0.0025981903902886337,1605.1488122015737,0.1121702552876462,0.0556095588437171,0.0306506994358825,0.0030242454589739,0.0033207063473953,0.0014496193644967
Acidilutibacter,Bacillota,—,1,6,0.032994358645198535,0.055274391948042505,0.010714325342354567,1541.463429541249,0.0576966115534742,0.0573039713416806,0.0508225929489727,0.0051911069354436,0.016113011884407,0.0108388572072131
Ruminiclostridium,Bacillota,—,6,6,0.03166558339518971,0.009734411592490833,0.0535967551978886,1475.2709060752713,0.0079878350952647,0.0102055834304417,0.0110098162517661,0.0630832725086688,0.0379734480835623,0.0597335450014347
Lutispora,Bacillota,—,1,4,0.030555753360022985,8.557980316643333e-05,0.06102592691687953,1422.656983656719,0.0,0.0002567394094993,0.0,0.0731685563910692,0.0427576894207303,0.0671515349388391
Hephaestia,Pseudomonadota,—,1,6,0.026790233162135,0.02110100992574357,0.03247945639852643,1249.6349323097222,0.0165461181204264,0.0248502925114211,0.0219066191453832,0.0336041604515971,0.0304625356751949,0.0333716730687873
Aliitabrizicola,Pseudomonadota,—,1,6,0.024814649372917136,0.026369480458561367,0.0232598182872729,1158.1416751998993,0.0204906567015025,0.026067909314196,0.0325498753599856,0.0238162466103548,0.0231171442919886,0.0228460639594753
Clostridium,Bacillota,—,27,6,0.021289560458656834,0.0322983683987791,0.010280752518534567,994.3660903967258,0.0214765621992005,0.0457004130831952,0.0297181299139416,0.010097448031599999,0.0107785634998945,0.0099662460241092
Macellibacteroides,Bacteroidota,—,1,6,0.021281833573854218,0.0020535895521831,0.040510077595525336,992.5228970960285,0.0020142445133986,0.0009627727856225,0.0031837513575282,0.0291111545544749,0.0621107849412261,0.030308293290875
Tabrizicola,Pseudomonadota,—,7,6,0.021233493074125115,0.022784871775502535,0.019682114372747698,991.0533699443894,0.0153867993342062,0.0261158878975311,0.0268519280947703,0.0205800293167254,0.020661510528169696,0.017804803273348
Anaerotaenia,Bacillota,—,1,6,0.020243445949455117,0.0228824556405753,0.017604436258334934,944.5297985881421,0.0223861927975148,0.0218799654283718,0.0243812086958393,0.0223889720265425,0.0121490085142852,0.0182753282341771
Beduinella,Bacillota,—,1,4,0.0197494914296982,0.00011393333500969999,0.0393850495243867,919.8437687239631,0.0,0.0,0.0003418000050291,0.0461506329753231,0.0382330126949839,0.0337715029028531
Sphingomonas,Pseudomonadota,—,27,6,0.01935323827692442,0.016137558900562135,0.0225689176532867,902.882083347166,0.0132501006738289,0.0177832170065732,0.0173793590212843,0.0231462537264591,0.0238092147474498,0.0207512844859512
Youngiibacter,Bacillota,—,1,6,0.015310927093089982,0.0034826414477082002,0.02713921273847177,713.7448788529978,0.0025087681729774,0.004750088574361,0.0031890675957862,0.0258392805594615,0.0328781653128987,0.0227001923430551
Caproicibacter,Bacillota,—,1,5,0.014885328962600532,0.029497472476496898,0.00027318544870416666,695.7081497376971,0.0275320501508418,0.0313749464689514,0.0295854208096975,0.0,0.0003594303550616,0.0004601259910509
Caproiciproducens,Bacillota,—,2,6,0.014631338175575484,0.025987727948575567,0.0032749484025754,683.662192660809,0.020294929357615,0.0295482816267791,0.0281199728613326,0.0032247764607295,0.002673322280591,0.0039267464664057
Rubellimicrobium,Pseudomonadota,—,5,6,0.0146175545891529,0.020370847374053536,0.008864261804252267,682.8094766336184,0.0107970762522631,0.0287180501310519,0.0215974157388456,0.0073462002325982,0.0130478598120523,0.0061987253681063
Other,—,—,342,6,0.3746138881008043,0.2756002081632721,0.4736275680383366,75.97679230783127,0.2164313169489635,0.30490237030195877,0.3054669372388939,0.4731164648277512,0.504675872283229,0.44309036700402943
