genus,phylum,matched_genera,n_member_taxa,prevalence,mean_abundance,mean_abundance_ss1,mean_abundance_ss2,mean_reads,BC13,BC14,BC15,BC16,BC17,BC18
Fonticella,Bacillota,—,1,6,0.09612033333333335,0.11409433333333334,0.07814633333333333,31.333333333333332,0.142209,0.089107,0.110967,0.056958,0.052688,0.124793
Xylanivirga,Bacillota,—,1,6,0.066541,0.10759599999999998,0.025485999999999998,250.5,0.179979,0.078802,0.064007,0.036254,0.012316,0.027888
Acidilutibacter,Bacillota,—,1,6,0.032994499999999996,0.055274666666666666,0.010714333333333333,1466.0,0.057697,0.057304,0.050823,0.005191,0.016113,0.010839
Lutispora,Bacillota,—,1,3,0.030513166666666664,0.0,0.06102633333333333,1327.6666666666667,0.0,0.0,0.0,0.073169,0.042758,0.067152
Oxobacter,Bacillota,—,1,4,0.029984999999999998,0.05634633333333333,0.003623666666666667,14.5,0.055086,0.049748,0.064205,0.010871,0.0,0.0
Anaerotaenia,Bacillota,—,1,6,0.020243333333333332,0.022882333333333334,0.017604333333333333,43.166666666666664,0.022386,0.02188,0.024381,0.022389,0.012149,0.018275
Beduinella,Bacillota,—,1,3,0.019692666666666667,0.0,0.039385333333333335,7.0,0.0,0.0,0.0,0.046151,0.038233,0.033772
Ruminiclostridium,Bacillota,—,1,4,0.0150775,0.0013073333333333333,0.02884766666666667,7.333333333333333,0.003922,0.0,0.0,0.031586,0.019953,0.035004
Caproicibacter,Bacillota,—,1,3,0.014748666666666667,0.029497333333333334,0.0,597.3333333333334,0.027532,0.031375,0.029585,0.0,0.0,0.0
Caproiciproducens,Bacillota,—,1,4,0.013648333333333333,0.02598766666666667,0.001309,92.16666666666667,0.020294999999999997,0.029547999999999998,0.02812,0.0,0.0,0.003927
Acetanaerobacterium,Bacillota,—,1,6,0.013239333333333334,0.016851666666666668,0.009627,585.3333333333334,0.013602,0.016713,0.02024,0.007662,0.013643,0.007576
Psychrosinus,Bacillota,—,1,6,0.011358833333333334,0.010588,0.012129666666666665,64.83333333333333,0.006601,0.012579,0.012584,0.012733,0.009992,0.013664
Aquipluma,Bacteroidota,—,1,6,0.009600166666666668,0.0019763333333333334,0.017224,432.0,0.002743,0.001712,0.001474,0.027113,0.010064,0.014495
Acetivibrio,Bacillota,—,1,6,0.008062333333333333,0.009329333333333334,0.006795333333333334,147.33333333333334,0.012092,0.007792,0.008104,0.007891,0.006562,0.005933000000000001
Tabrizicola,Pseudomonadota,—,2,3,0.008025833333333334,0.0,0.01605166666666667,6.833333333333333,0.0,0.0,0.0,0.032655,0.008004,0.007496
Pumilibacter,Bacillota,—,1,4,0.007877,0.0015329999999999999,0.014221,13.333333333333334,0.00135,0.001113,0.002136,0.0,0.042663,0.0
Sedimentibacter,Bacillota,—,1,6,0.005991,0.0009246666666666666,0.011057333333333334,181.5,0.001305,0.000644,0.000825,0.01372,0.009138,0.010314
Anaerosporomusa,Bacillota,—,1,6,0.005439166666666666,0.0008436666666666667,0.010034666666666666,231.33333333333334,0.000857,0.000685,0.000989,0.011741,0.009197,0.009166
Clostridium,Bacillota,—,2,6,0.005191833333333334,0.009639,0.0007446666666666666,187.66666666666666,0.008414,0.011403,0.0091,0.000853,0.000747,0.000634
Sporobacter,Bacillota,—,1,3,0.004133833333333333,0.0,0.008267666666666666,21.0,0.0,0.0,0.0,0.008021,0.009878,0.006904
Other,—,—,39,6,0.045537,0.02883,0.06224400000000001,34.728070175438596,0.024698,0.031581000000000005,0.030211,0.060945000000000006,0.06740199999999998,0.058385
