genus,phylum,matched_genera,n_member_taxa,prevalence,mean_abundance,mean_abundance_ss1,mean_abundance_ss2,mean_reads,BC13,BC14,BC15,BC16,BC17,BC18
Fonticella,Bacillota,—,1,6,0.09612033333333335,0.11409433333333334,0.07814633333333333,31.333333333333332,0.142209,0.089107,0.110967,0.056958,0.052688,0.124793
Xylanivirga,Bacillota,—,1,6,0.066541,0.10759599999999998,0.025485999999999998,250.5,0.179979,0.078802,0.064007,0.036254,0.012316,0.027888
Acetivibrio,Bacillota,—,2,6,0.05838433333333334,0.07997333333333334,0.03679533333333333,161.16666666666666,0.037853,0.078001,0.12406600000000001,0.032717,0.044072,0.033597
Oxobacter,Bacillota,—,1,6,0.03441233333333333,0.05634633333333333,0.012478333333333333,16.833333333333332,0.055086,0.049748,0.064205,0.010871,0.015805,0.010759
Thermoclostridium,Bacillota,—,1,6,0.034371000000000006,0.06614366666666667,0.002598333333333333,10.833333333333334,0.11217,0.05561,0.030651,0.003024,0.003321,0.00145
Acidilutibacter,Bacillota,—,1,6,0.032994499999999996,0.055274666666666666,0.010714333333333333,1466.0,0.057697,0.057304,0.050823,0.005191,0.016113,0.010839
Ruminiclostridium,Bacillota,—,2,6,0.031573,0.009622333333333332,0.05352366666666667,24.166666666666668,0.007651,0.010206,0.011009999999999999,0.062864,0.037973,0.059733999999999995
Pseudotabrizicola,Pseudomonadota,—,4,6,0.030935333333333332,0.032435,0.029435666666666666,15.166666666666666,0.024472,0.030993,0.04184,0.029412,0.029696,0.029199
Lutispora,Bacillota,—,1,4,0.030556,8.566666666666667e-05,0.06102633333333333,1328.3333333333333,0.0,0.000257,0.0,0.073169,0.042758,0.067152
Clostridium,Bacillota,—,2,6,0.023776666666666665,0.03142466666666666,0.016128666666666666,225.33333333333334,0.025644,0.042116,0.026514,0.014916999999999998,0.017991999999999998,0.015477000000000001
Macellibacteroides,Bacteroidota,—,1,5,0.021121333333333336,0.0017326666666666669,0.04051,6.166666666666667,0.002014,0.0,0.003184,0.029111,0.062111,0.030308
Anaerotaenia,Bacillota,—,1,6,0.020243333333333332,0.022882333333333334,0.017604333333333333,43.166666666666664,0.022386,0.02188,0.024381,0.022389,0.012149,0.018275
Beduinella,Bacillota,—,1,4,0.019749666666666665,0.000114,0.039385333333333335,8.0,0.0,0.0,0.000342,0.046151,0.038233,0.033772
Caproicibacter,Bacillota,—,1,4,0.014825333333333334,0.029497333333333334,0.00015333333333333334,598.3333333333334,0.027532,0.031375,0.029585,0.0,0.0,0.00046
Caproiciproducens,Bacillota,—,1,6,0.014631333333333335,0.02598766666666667,0.003275,95.0,0.020294999999999997,0.029547999999999998,0.02812,0.003225,0.002673,0.003927
Tabrizicola,Pseudomonadota,—,2,6,0.014183000000000001,0.015644666666666668,0.012721333333333334,10.0,0.005652,0.021771,0.019511,0.013826,0.013094,0.011244
Sedimentibacter,Bacillota,—,1,6,0.013251333333333332,0.0030520000000000005,0.023450666666666665,191.66666666666666,0.001779,0.0037660000000000003,0.0036109999999999996,0.028283,0.018586,0.023483
Acetanaerobacterium,Bacillota,—,1,6,0.013239333333333334,0.016851666666666668,0.009627,585.3333333333334,0.013602,0.016713,0.02024,0.007662,0.013643,0.007576
Pumilibacter,Bacillota,—,1,6,0.011577666666666667,0.0015329999999999999,0.021622333333333337,15.166666666666666,0.00135,0.001113,0.002136,0.007897,0.042663,0.014307
Rubellimicrobium,Pseudomonadota,—,3,6,0.011460499999999998,0.015753666666666666,0.007167333333333334,6.5,0.002882,0.028387,0.015992,0.006671,0.01055,0.004280999999999999
Other,—,—,103,6,0.16915316666666666,0.096256,0.24205033333333337,26.565134099616856,0.076217,0.11006999999999999,0.102481,0.24939200000000006,0.25456800000000007,0.22219099999999994
