genus,phylum,matched_genera,n_member_taxa,prevalence,total_reads,mean_reads,mean_reads_ss1,mean_reads_ss2,BC13,BC14,BC15,BC16,BC17,BC18
Sphingomonas,Pseudomonadota,Sphingomonas,25,6,11091,1848.5,1539.0,2158.0,1170,1812,1635,2182,2122,2170
Acetobacterium,Bacillota,Acetobacterium,1,6,1265,210.83333333333334,193.0,228.66666666666666,160,269,150,208,326,152
Novosphingobium,Pseudomonadota,Novosphingobium,10,6,1261,210.16666666666666,169.33333333333334,251.0,105,215,188,242,268,243
Sphingopyxis,Pseudomonadota,Sphingopyxis,3,6,1132,188.66666666666666,243.66666666666666,133.66666666666666,150,347,234,128,152,121
Sphingorhabdus,Pseudomonadota,Sphingorhabdus,2,6,854,142.33333333333334,190.33333333333334,94.33333333333333,94,320,157,57,143,83
Anaeromyxobacter,Myxococcota,Anaeromyxobacter,2,6,667,111.16666666666667,31.0,191.33333333333334,21,27,45,199,230,145
Desulfitobacterium,Bacillota,Desulfitobacterium,5,6,646,107.66666666666667,172.66666666666666,42.666666666666664,204,197,117,42,54,32
Acidovorax,Pseudomonadota,Acidovorax,1,6,440,73.33333333333333,86.33333333333333,60.333333333333336,64,105,90,66,55,60
Ideonella,Pseudomonadota,Ideonella,2,6,273,45.5,70.66666666666667,20.333333333333332,47,76,89,18,33,10
Hydrogenophaga,Pseudomonadota,Hydrogenophaga,1,6,185,30.833333333333332,25.666666666666668,36.0,18,26,33,27,60,21
Sphingobium,Pseudomonadota,Sphingobium,3,6,173,28.833333333333332,14.0,43.666666666666664,6,20,16,40,65,26
Desulfomonile,Thermodesulfobacteriota,Desulfomonile,2,6,154,25.666666666666668,21.666666666666668,29.666666666666668,13,25,27,31,31,27
Dehalobacter,Bacillota,Dehalobacter,4,6,142,23.666666666666668,6.0,41.333333333333336,4,9,5,30,50,44
Flavobacterium,Bacteroidota,Flavobacterium,1,6,62,10.333333333333334,9.0,11.666666666666666,10,10,7,8,11,16
Variovorax,Pseudomonadota,Variovorax,1,6,57,9.5,14.333333333333334,4.666666666666667,15,15,13,6,4,4
Aeromonas,Pseudomonadota,Aeromonas,1,6,44,7.333333333333333,8.666666666666666,6.0,7,11,8,5,2,11
Paracoccus,Pseudomonadota,Paracoccus,1,6,16,2.6666666666666665,3.3333333333333335,2.0,3,4,3,1,2,3
Serratia,Pseudomonadota,Serratia,1,3,9,1.5,3.0,0.0,1,4,4,0,0,0
Other,—,—,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
