genus,phylum,matched_genera,n_member_taxa,prevalence,total_reads,mean_reads,mean_reads_ss1,mean_reads_ss2,BC13,BC14,BC15,BC16,BC17,BC18
Fonticella,Bacillota,—,1,6,26916.214272561578,4486.035712093596,5331.551829159461,3640.519595027732,6635.318888062583,4164.847252307483,5194.489347108317,2643.7263322181075,2463.214767976629,5814.61768488846
Xylanivirga,Bacillota,—,1,6,18634.999600126852,3105.8332666878086,5025.6921233914845,1185.9744099841325,8397.643532127006,3683.2106840161737,2996.222154031274,1682.745988057988,575.762852762727,1299.414389131683
Acetivibrio,Bacillota,—,6,6,18055.310847775854,3009.218474629309,4303.644779104141,1714.7921701544772,2601.5621933109787,4501.690026484361,5807.6821175170835,1518.624138292467,2060.3484208587925,1565.4039513121713
Oxobacter,Bacillota,—,1,6,9645.728837111232,1607.6214728518719,2633.646443719422,581.5965019843218,2570.2446853715423,2325.2075864103235,3005.4870593764003,504.5931384610802,738.8789656520654,501.3174018398197
Thermoclostridium,Bacillota,—,1,6,9630.892873209443,1605.1488122015737,3089.244204371574,121.05342003157322,5233.751941466286,2599.1907803553377,1434.7898912930984,140.3703529782757,155.24634244708042,67.54356466936358
Acidilutibacter,Bacillota,—,1,6,9248.780577247495,1541.463429541249,2583.170072506024,499.75678657647444,2692.066198473555,2678.387620510154,2379.056398534363,240.9452284086177,753.2994186079155,505.0257127128901
Ruminiclostridium,Bacillota,—,6,6,8851.625436451628,1475.2709060752713,455.03129193675295,2495.5105202137897,372.70439770996967,477.00896953885456,515.3805085614347,2928.010093489882,1775.2966713546311,2783.224795796857
Lutispora,Bacillota,—,1,4,8535.941901940314,1422.656983656719,4.0,2841.313967313438,0.0,12.0,0.0,3396.1185448914785,1998.964738108563,3128.858618940272
Hephaestia,Pseudomonadota,—,1,6,7497.809593858333,1249.6349323097222,986.3329153931121,1512.9369492263322,772.0253253809778,1161.502671983823,1025.4707488145357,1559.7371073608808,1424.1540053510375,1554.9197349670787
Aliitabrizicola,Pseudomonadota,—,1,6,6948.850051199395,1158.1416751998993,1232.7266159524063,1083.5567344473918,956.073551035407,1218.4140813455235,1523.692215476289,1105.4310864196198,1080.7496127947595,1064.4895041277964
Clostridium,Bacillota,—,27,6,5966.196542380355,994.3660903967258,1509.7492008542188,478.9829799392328,1002.0749156525253,2136.037307508575,1391.1353794015563,468.67305038673385,503.9086221835916,464.36726724737275
Macellibacteroides,Bacteroidota,—,1,6,5955.137382576171,992.5228970960285,96.00573984930678,1889.0400543427504,93.98263475066742,45.0,149.0345847972529,1351.194238645956,2903.7413067872617,1412.1846175950334
Tabrizicola,Pseudomonadota,—,7,6,5946.320219666336,991.0533699443894,1065.1849588365512,916.9217810522277,717.932670134741,1220.6566003306098,1256.9656060443033,955.2220607358206,965.9462787024688,829.5970037183937
Anaerotaenia,Bacillota,—,1,6,5667.178791528852,944.5297985881421,1069.4985713740941,819.5610258021901,1044.517369739246,1022.669584122102,1141.3087602609337,1039.1841366119734,567.9782970513486,851.520643743248
Beduinella,Bacillota,—,1,4,5519.062612343779,919.8437687239631,5.33333334513972,1834.3542041027865,0.0,0.0,16.00000003541916,2142.081629549625,1787.4315765031956,1573.5494062555383
Sphingomonas,Pseudomonadota,—,27,6,5417.292500082996,902.882083347166,754.3230617909488,1051.4411049033833,618.2364473402182,831.1875628872564,813.5451751453718,1074.333366713638,1113.10459865807,966.8853493384424
Youngiibacter,Bacillota,—,1,6,4282.469273117987,713.7448788529978,162.78639912498045,1264.7033585810152,117.0566141829566,222.019139965634,149.28344322635073,1199.3302071674068,1537.0871065433282,1057.6927620323106
Caproicibacter,Bacillota,—,1,5,4174.248898426183,695.7081497376971,1378.6686864898893,12.747612985504878,1284.6179279881276,1466.4649979587884,1384.9231335227516,0.0,16.803728529486317,21.43911042702831
Caproiciproducens,Bacillota,—,2,6,4101.9731559648535,683.662192660809,1214.7839472481553,152.5404380734626,946.9411088969634,1381.086683235657,1316.3240496118456,149.6779994247599,124.98048993991392,182.962824855714
Rubellimicrobium,Pseudomonadota,—,5,6,4096.85685980171,682.8094766336184,952.3530240436143,413.2659292236226,503.78078085435084,1342.2816631253772,1010.9966281511147,340.97388379604917,610.0004940732696,288.823409801549
Other,—,—,342,6,104847.97338480715,75.97679230783127,56.0127802964149,95.94080431924762,10098.468817522018,14251.136787913965,14299.212799090305,21959.700714980696,23594.101705113855,20645.35256018631
