genus,phylum,matched_genera,n_member_taxa,prevalence,total_reads,mean_reads,mean_reads_ss1,mean_reads_ss2,BC13,BC14,BC15,BC16,BC17,BC18
Acidilutibacter,Bacillota,—,1,6,8796.0,1466.0,2463.3333333333335,468.6666666666667,2488.0,2594.0,2308.0,218.0,706.0,482.0
Lutispora,Bacillota,—,1,4,7970.0,1328.3333333333333,1.3333333333333333,2655.3333333333335,0.0,4.0,0.0,3141.0,1871.0,2954.0
Caproicibacter,Bacillota,—,1,4,3590.0,598.3333333333334,1194.6666666666667,2.0,1080.0,1274.0,1230.0,0.0,0.0,6.0
Acetanaerobacterium,Bacillota,—,1,6,3512.0,585.3333333333334,750.6666666666666,420.0,604.0,755.0,893.0,328.0,599.0,333.0
Aquipluma,Bacteroidota,—,1,6,2592.0,432.0,88.33333333333333,775.6666666666666,118.0,79.0,68.0,1222.0,448.0,657.0
Xylanivirga,Bacillota,—,1,6,1503.0,250.5,383.0,118.0,629.0,269.0,251.0,171.0,60.0,123.0
Anaerosporomusa,Bacillota,—,1,6,1388.0,231.33333333333334,36.333333333333336,426.3333333333333,34.0,31.0,44.0,495.0,393.0,391.0
Clostridium,Bacillota,—,2,6,1352.0,225.33333333333334,392.6666666666667,58.0,322.0,457.0,399.0,44.0,73.0,57.0
Sedimentibacter,Bacillota,—,1,6,1150.0,191.66666666666666,22.666666666666668,360.6666666666667,30.0,20.0,18.0,463.0,290.0,329.0
Acetivibrio,Bacillota,—,2,6,967.0,161.16666666666666,222.33333333333334,100.0,364.0,151.0,152.0,133.0,72.0,95.0
Hujiaoplasma,Mycoplasmatota,—,1,3,724.0,120.66666666666667,0.0,241.33333333333334,0.0,0.0,0.0,179.0,293.0,252.0
Vampirovibrio,Candidatus Melainabacteria,—,1,6,661.0,110.16666666666667,139.66666666666666,80.66666666666667,111.0,169.0,139.0,74.0,65.0,103.0
Yanshouia,Bacillota,—,1,3,642.0,107.0,0.0,214.0,0.0,0.0,0.0,184.0,209.0,249.0
Caproiciproducens,Bacillota,—,1,6,570.0,95.0,176.33333333333334,13.666666666666666,141.0,158.0,230.0,13.0,4.0,24.0
Marasmitruncus,Bacillota,—,1,6,536.0,89.33333333333333,130.33333333333334,48.333333333333336,129.0,134.0,128.0,57.0,50.0,38.0
Cytophaga,Bacteroidota,—,1,6,519.0,86.5,103.0,70.0,92.0,100.0,117.0,57.0,76.0,77.0
Gemmatimonas,Gemmatimonadota,—,1,6,425.0,70.83333333333333,96.66666666666667,45.0,75.0,119.0,96.0,45.0,52.0,38.0
Psychrosinus,Bacillota,—,1,6,389.0,64.83333333333333,80.0,49.666666666666664,69.0,89.0,82.0,49.0,32.0,68.0
Abditibacterium,Abditibacteriota,—,1,6,385.0,64.16666666666667,25.0,103.33333333333333,28.0,32.0,15.0,113.0,98.0,99.0
Candidatus Galacturonatibacter,Bacillota,—,1,4,338.0,56.333333333333336,62.666666666666664,50.0,79.0,53.0,56.0,0.0,0.0,150.0
Other,—,—,110,6,6392.0,12.245210727969347,9.356321839080461,15.134099616858238,663.0,838.0,941.0,1381.0,1455.0,1114.0
