genus,detected_16s,n_otus_detected,evidence_category,pop_classes,targeted_gene_validation,key_refs
Sphingomonas,yes,26,BOTH,"PCDD/F, dibenzofuran, PAH-like aromatics",catB2 (family-level: Sphingobium in targeted sequencing),Omori_1994; Gai_2007; Megharaj_1997
Novosphingobium,yes,11,POP_BROAD,"PCBs, PAHs, carbazole, other aromatics",not targeted,Ghosal_2016_review; Huang_2023_PAH_review; Hiraishi_2003_dioxin_biodiversity
Dehalobacter,yes,5,BOTH,"PCDD/F (TriCDD), PCBs, chlorobenzenes",not targeted,Yoshida_2009; Dam_2017; Hiraishi_2008_Dehalorespiring_review
Desulfitobacterium,yes,5,BOTH,"chlorophenols, chlorinated aromatics, PCDD/F consortia",not targeted,Utkin_1994; Futamata_2007; Yoshida_2005
Sphingobium,yes,3,POP_BROAD,"PCBs, biphenyl, chlorobenzoates","catB2 (6 consensus seqs, 87.7-90.5% identity)",Hu_2015
Sphingopyxis,yes,3,POP_BROAD,chlorophenols,not targeted,Godoy_2003
Anaeromyxobacter,yes,2,BOTH,"chlorophenols, chlorobenzenes, PCB/dioxin sediments",not targeted,He_2002; Ahn_2008; Field_2007_review
Desulfomonile,yes,2,POP_BROAD,"chlorophenols, PCBs/dioxins consortia",not targeted,Beurskens_1995; Hiraishi_2008; Toussaint_1997
Ideonella,yes,2,POP_BROAD,plastics (PET; aromatic polyester),not targeted,Yoshida_2016; Palm_2019; Sevilla_2023
Sphingorhabdus,yes,2,POP_BROAD,"PAHs, mixed aromatics",not targeted,PAH_general_reviews
Acetobacterium,yes,1,BOTH,"PCDD/F (reductive dechlorination), other organohalides",not targeted,Adrian_2004; Bunge_2003; Dam_2019
Acidovorax,yes,1,POP_BROAD,"chlorobenzenes, PAHs (phenanthrene)",not targeted,Monferran_2005; Singleton_2009
Aeromonas,yes,1,POP_BROAD,"PAHs (phenanthrene, fluorene, acenaphthene)",not targeted,Nie_2016; Sankhyan_2025; PAH_bioremediation_reviews
Agrobacterium,yes,1,POP_BROAD,"dibenzofuran, structural DF analogs",not targeted,Le_2014
Flavobacterium,yes,1,POP_BROAD,"PAHs, organochlorine pesticides (endosulfan)",not targeted,Ghosal_2016; Kumar_2025_POP_review; Flavobacterium_PAH_endosulfan_studies
Hydrogenophaga,yes,1,POP_BROAD,PCBs (Aroclor mixtures),not targeted,Kumar_2025_review; Lambo_2006
