sample_id	cluster_id	estimated_counts	abundance	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group
barcode13_120_filtered	134	90.21888533326066	0.0019335794880571949	173676	Novosphingobium hassiacum	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	139	61.102005559801036	0.0013095438299106504	173675	Sphingopyxis witflariensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	139	21.215857610273424	0.00045470022097073286	2871171	Sphingopyxis jiangsuensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	139	117.61837627000864	0.0025208079099425327	33052	Sphingopyxis terrae	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	139	16.37644145231024	0.00035098140663773845	651663	Sphingopyxis bauzanensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	192	46.22789489028426	0.0009907605154479149	1244894	Sphingomonas fonticola	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	120	32.16017859481597	0.0006892599197328697	3103142	Sphingomonas rustica	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	120	772.0253253809778	0.016546118120426452	2873268	Hephaestia mangrovi	Hephaestia	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	120	124.06633694020579	0.0026590011989156602	1632740	Sphingomonas zeicaulis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	120	23.861271401130633	0.0005113969738127828	397260	Sphingomonas sanxanigenens	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	155	26.120177938054347	0.0005598100674693917	1460355	Sphingomonas mohensis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	120	146.19734132445691	0.0031333149301197394	2305907	Sphingomonas gilva	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	22	66.88114211293406	0.0014334028185973564	2992113	Sphingomonas arvum	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	181	215.0001898640958	0.004607903938449084	52692	Acetobacterium malicum	Acetobacterium	Eubacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	158	18.89817814752988	0.00040502750053644267	2559804	Sphingomonas flavalba	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	38	42.44899821737789	0.0009097708527267599	49338	Desulfitobacterium hafniense	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	16	165.2283880991014	0.003541190083351581	3375356	Desulfitobacterium nosdiversum	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	158	38.003490591031095	0.0008144943224464968	2782540	Sphingomonas beigongshangi	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
