cluster_id	groups_passing	group_stats
2	dry,fuzz	dry:reps=3,mean=0.006111;fuzz:reps=3,mean=0.005543
3	dry,fuzz	dry:reps=3,mean=0.035807;fuzz:reps=3,mean=0.007777
4	dry	dry:reps=3,mean=0.017717
10	fuzz	fuzz:reps=3,mean=0.066144
12	fuzz	fuzz:reps=3,mean=0.005558
14	dry,fuzz	dry:reps=3,mean=0.012130;fuzz:reps=3,mean=0.010588
17	dry	dry:reps=3,mean=0.005080
22	dry	dry:reps=3,mean=0.005012
23	dry	dry:reps=3,mean=0.005373
26	dry	dry:reps=3,mean=0.008588
27	dry,fuzz	dry:reps=3,mean=0.030186;fuzz:reps=3,mean=0.036512
34	dry,fuzz	dry:reps=3,mean=0.009627;fuzz:reps=3,mean=0.016852
37	dry,fuzz	dry:reps=3,mean=0.009272;fuzz:reps=3,mean=0.009017
43	dry	dry:reps=3,mean=0.005349
48	dry	dry:reps=3,mean=0.019058
50	dry	dry:reps=3,mean=0.009261
52	dry	dry:reps=3,mean=0.010238
54	dry,fuzz	dry:reps=3,mean=0.023934;fuzz:reps=3,mean=0.059609
55	dry,fuzz	dry:reps=3,mean=0.018828;fuzz:reps=3,mean=0.024263
56	dry,fuzz	dry:reps=3,mean=0.025444;fuzz:reps=3,mean=0.011221
58	fuzz	fuzz:reps=3,mean=0.029497
59	dry	dry:reps=3,mean=0.005244
65	dry	dry:reps=3,mean=0.011774
70	dry	dry:reps=3,mean=0.039385
83	dry	dry:reps=3,mean=0.010035
86	dry	dry:reps=3,mean=0.005514
88	fuzz	fuzz:reps=3,mean=0.006319
90	dry	dry:reps=3,mean=0.008268
97	fuzz	fuzz:reps=3,mean=0.010893
100	dry,fuzz	dry:reps=3,mean=0.078146;fuzz:reps=3,mean=0.114094
102	dry	dry:reps=3,mean=0.005234
105	dry,fuzz	dry:reps=3,mean=0.012478;fuzz:reps=3,mean=0.056346
118	dry	dry:reps=3,mean=0.013904
120	dry,fuzz	dry:reps=3,mean=0.044414;fuzz:reps=3,mean=0.028360
121	dry	dry:reps=3,mean=0.021622
124	dry,fuzz	dry:reps=3,mean=0.008737;fuzz:reps=3,mean=0.006057
125	dry,fuzz	dry:reps=3,mean=0.006066;fuzz:reps=3,mean=0.022850
139	dry,fuzz	dry:reps=3,mean=0.005089;fuzz:reps=3,mean=0.006923
143	dry	dry:reps=3,mean=0.040510
149	dry,fuzz	dry:reps=3,mean=0.023750;fuzz:reps=3,mean=0.018937
150	fuzz	fuzz:reps=3,mean=0.005798
153	fuzz	fuzz:reps=3,mean=0.006126
181	dry,fuzz	dry:reps=3,mean=0.006777;fuzz:reps=3,mean=0.005257
184	dry,fuzz	dry:reps=3,mean=0.008864;fuzz:reps=3,mean=0.020371
190	dry	dry:reps=3,mean=0.027139
195	dry,fuzz	dry:reps=3,mean=0.043638;fuzz:reps=3,mean=0.052220
196	dry,fuzz	dry:reps=3,mean=0.025486;fuzz:reps=3,mean=0.107596
207	fuzz	fuzz:reps=3,mean=0.005320
209	dry	dry:reps=3,mean=0.008927
216	fuzz	fuzz:reps=3,mean=0.024005
219	dry	dry:reps=3,mean=0.017224
221	dry	dry:reps=3,mean=0.061026
222	dry	dry:reps=3,mean=0.011596
225	dry	dry:reps=3,mean=0.011057
232	dry,fuzz	dry:reps=3,mean=0.010714;fuzz:reps=3,mean=0.055275
