sample_id	cluster_id	abundance	member_taxids	member_taxa	read_count
barcode13_120_filtered	2	0.005060	1076412	1076412||Bacillota|Negativicutes|Selenomonadales|Sporomusaceae|Pelosinus|Pelosinus defluvii	236.083651
barcode13_120_filtered	3	0.006057	29355;48256;396504	29355||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminiclostridium|Ruminiclostridium cellobioparum;48256||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminiclostridium|Ruminiclostridium hungatei;396504||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminiclostridium|Ruminiclostridium sufflavum	282.614966
barcode13_120_filtered	4	0.001594	1499;1521	1499||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminiclostridium|Ruminiclostridium josui;1521||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminiclostridium|Ruminiclostridium cellulolyticum	74.363436
barcode13_120_filtered	5	0.003374	84032	84032||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium thermosuccinogenes	157.404666
barcode13_120_filtered	7	0.000735	908809	908809||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Caloramator|Caloramator mitchellensis	34.293745
barcode13_120_filtered	9	0.001105	365349;380084	365349||Bacillota|Negativicutes|Selenomonadales|Sporomusaceae|Pelosinus|Pelosinus fermentans;380084||Bacillota|Negativicutes|Selenomonadales|Sporomusaceae|Pelosinus|Pelosinus propionicus	51.574303
barcode13_120_filtered	10	0.112170	659425	659425||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Thermoclostridium|Thermoclostridium caenicola	5233.751941
barcode13_120_filtered	11	0.000928	2018669;3115649	2018669||Bacillota|Clostridia|Eubacteriales|Desulfitobacteriaceae|Desulfosporosinus|Desulfosporosinus fructosivorans;3115649||Bacillota|Clostridia|Eubacteriales|Desulfitobacteriaceae|Desulfosporosinus|Desulfosporosinus paludis	43.322588
barcode13_120_filtered	12	0.008770	288965	288965||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Acetivibrio|Acetivibrio clariflavus	409.180083
barcode13_120_filtered	14	0.006601	394284	394284||Bacillota|Negativicutes|Selenomonadales|Sporomusaceae|Psychrosinus|Psychrosinus fermentans	307.982212
barcode13_120_filtered	16	0.003541	3375356	3375356||Bacillota|Clostridia|Eubacteriales|Desulfitobacteriaceae|Desulfitobacterium|Desulfitobacterium nosdiversum	165.228388
barcode13_120_filtered	18	0.001372	107709	107709||Verrucomicrobiota|Opitutia|Opitutales|Opitutaceae|Opitutus|Opitutus terrae	64.000000
