cluster_id	groups_full_presence
1	dry
2	dry,fuzz
3	dry,fuzz
4	dry,fuzz
5	dry,fuzz
6	dry
7	fuzz
9	dry,fuzz
10	dry,fuzz
11	fuzz
12	dry,fuzz
13	dry
14	dry,fuzz
16	dry,fuzz
17	dry
18	dry,fuzz
19	dry
20	dry,fuzz
22	dry,fuzz
23	dry,fuzz
24	dry
25	dry
26	dry
27	dry,fuzz
28	dry
30	dry
31	dry
34	dry,fuzz
36	dry,fuzz
37	dry,fuzz
38	dry,fuzz
39	dry
40	dry,fuzz
41	dry
42	dry,fuzz
43	dry
44	dry,fuzz
45	dry,fuzz
48	dry,fuzz
49	fuzz
50	dry,fuzz
52	dry,fuzz
54	dry,fuzz
55	dry,fuzz
56	dry,fuzz
57	dry
58	fuzz
59	dry
60	dry,fuzz
61	dry
62	fuzz
65	dry,fuzz
66	dry,fuzz
67	dry
68	dry
70	dry
71	dry,fuzz
72	dry
73	dry
75	dry,fuzz
76	dry
78	dry
79	dry,fuzz
80	dry,fuzz
81	dry
82	dry,fuzz
83	dry,fuzz
86	dry,fuzz
88	dry,fuzz
89	dry
90	dry,fuzz
92	dry,fuzz
93	dry
95	dry
96	dry
97	fuzz
98	dry
99	dry,fuzz
100	dry,fuzz
101	dry
102	dry
103	dry
104	dry,fuzz
105	dry,fuzz
106	fuzz
107	dry
108	fuzz
109	fuzz
110	dry
112	fuzz
113	dry
114	dry,fuzz
115	dry,fuzz
117	dry
118	dry
120	dry,fuzz
121	dry,fuzz
122	dry,fuzz
123	dry,fuzz
124	dry,fuzz
125	dry,fuzz
126	dry,fuzz
127	dry,fuzz
128	dry
130	dry
131	dry
132	dry,fuzz
133	dry
134	dry,fuzz
135	dry
136	dry
137	dry,fuzz
139	dry,fuzz
141	dry
143	dry,fuzz
144	dry,fuzz
145	dry,fuzz
146	dry
148	dry,fuzz
149	dry,fuzz
150	dry,fuzz
151	dry,fuzz
152	dry
153	dry,fuzz
154	dry,fuzz
155	dry,fuzz
158	dry,fuzz
159	dry,fuzz
160	dry,fuzz
162	fuzz
163	dry
169	dry,fuzz
170	dry,fuzz
171	dry,fuzz
175	dry
177	dry,fuzz
180	dry,fuzz
181	dry,fuzz
182	dry
183	dry
184	dry,fuzz
186	dry
189	fuzz
190	dry,fuzz
192	dry,fuzz
194	dry
195	dry,fuzz
196	dry,fuzz
197	dry
198	fuzz
199	dry,fuzz
200	dry
201	dry
203	dry,fuzz
205	dry,fuzz
206	fuzz
207	dry,fuzz
208	dry,fuzz
209	dry,fuzz
210	dry,fuzz
211	dry
212	dry
213	dry,fuzz
216	dry,fuzz
217	dry,fuzz
219	dry,fuzz
220	dry
221	dry
222	dry,fuzz
223	dry
224	dry,fuzz
225	dry,fuzz
226	dry,fuzz
228	dry
232	dry,fuzz
233	dry,fuzz
235	dry
236	dry
237	dry
238	dry
239	dry
240	dry
243	fuzz
244	fuzz
245	fuzz
246	fuzz
248	dry
252	dry
253	dry
254	dry,fuzz
255	fuzz
257	fuzz
