sample_id	cluster_id	estimated_counts	abundance	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group
barcode13_120_filtered	100	6635.318888062583	0.14220876761316323	1096341	Fonticella tunisiensis	Fonticella	Clostridiaceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	233	50.574888713424905	0.0010839256887936926	655338	Fervidicella metallireducens	Fervidicella	Clostridiaceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	66	47.00943687004598	0.0010075105953845128	1147123	Caloramator quimbayensis	Caloramator	Clostridiaceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	34	634.6462903692404	0.013601797946146304	258515	Acetanaerobacterium elongatum	Acetanaerobacterium	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	10	5233.751941466286	0.11217025528764624	659425	Thermoclostridium caenicola	Thermoclostridium	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	12	409.1800826684951	0.0087695853462032	288965	Acetivibrio clariflavus	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	125	662.9070791033344	0.014207485782021355	320502	Acetivibrio alkalicellulosi	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	137	154.99953450169394	0.003321964347750572	35830	Acetivibrio cellulolyticus	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	54	539.0843505785656	0.011553705621178457	253314	Acetivibrio straminisolvens	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	203	42.90154438545073	0.0009194698640230337	1297424	Anaerobacterium chartisolvens	Anaerobacterium	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	195	263.7235277160846	0.005652147018069068	2494374	Tabrizicola piscis	Tabrizicola	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	195	956.073551035407	0.02049065670150254	2909234	Alitabrizicola rongguiensis	Aliitabrizicola	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	195	326.8489123529123	0.007005056095349499	909926	Tabrizicola aquatica	Tabrizicola	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	195	17.99789414466017	0.00038573253058702864	2709381	Pseudotabrizicola algicola	Pseudotabrizicola	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	195	21.42615807659825	0.00045920739999996246	1445661	Aliigemmobacter aestuarii	Aliigemmobacter	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota					
