cluster_id	groups_full_presence
0	dry,fuzz
3	dry,fuzz
4	dry
5	dry,fuzz
6	dry
7	dry
9	dry
11	dry,fuzz
12	dry,fuzz
13	dry
14	dry,fuzz
17	dry
18	fuzz
21	dry,fuzz
23	dry
24	dry,fuzz
26	dry,fuzz
27	dry,fuzz
28	dry
29	dry
31	dry,fuzz
33	dry,fuzz
34	dry
36	fuzz
38	fuzz
39	fuzz
40	dry
42	fuzz
43	dry,fuzz
45	dry
48	dry,fuzz
51	dry,fuzz
53	dry,fuzz
57	dry,fuzz
58	dry,fuzz
60	fuzz
62	dry,fuzz
63	dry
65	dry
66	fuzz
70	dry,fuzz
71	dry
73	fuzz
74	dry,fuzz
75	dry,fuzz
78	dry
81	dry,fuzz
82	dry,fuzz
86	fuzz
88	dry,fuzz
92	dry
93	dry
94	dry,fuzz
96	dry
98	dry
100	dry
103	fuzz
104	fuzz
106	dry
108	dry
109	dry,fuzz
110	fuzz
112	fuzz
