sample_id	tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group	estimated_counts
barcode19	564305	0.03237684315316723	Kwoniella shivajii	Kwoniella	Cryptococcaceae	Tremellales	Tremellomycetes	Basidiomycota	Opisthokonta					1385.6641332692511
barcode19	3067	0.009798039918131695	Volvox carteri	Volvox	Volvocaceae	Chlamydomonadales	Chlorophyceae	Chlorophyta	core chlorophytes					419.3365124162003
barcode19	3055	0.10181290362614352	Chlamydomonas reinhardtii	Chlamydomonas	Chlamydomonadaceae	Chlamydomonadales	Chlorophyceae	Chlorophyta	core chlorophytes					4357.388649391691
barcode19	554065	0.0006913734485710242	Chlorella variabilis	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	core chlorophytes					29.589400851942692
barcode19	1123529	0.0004997285716732463	Gonapodya prolifera	Gonapodya	Gonapodyaceae	Monoblepharidales	Monoblepharidomycetes	Chytridiomycota	Opisthokonta					21.387383410471596
barcode19	150278	0.016046257618986707	Monoblepharis macrandra	Monoblepharis	Monoblepharidaceae	Monoblepharidales	Monoblepharidomycetes	Chytridiomycota	Opisthokonta					686.7477335773931
barcode19	82268	0.001312696105242325	Hyaloraphidium curvatum	Hyaloraphidium		Monoblepharidales	Monoblepharidomycetes	Chytridiomycota	Opisthokonta					56.18076791216102
barcode19	693156	0.029194873874257034	Chytridium olla	Chytridium	Chytridiaceae	Chytridiales	Chytridiomycetes	Chytridiomycota	Opisthokonta					1249.4822120704525
barcode19	3231536	0.0005645426661802261	Terramyces aquatica	Terramyces	Terramycetaceae	Rhizophydiales	Chytridiomycetes	Chytridiomycota	Opisthokonta					24.161297027181316
barcode19	1661796	0.0024407455966366383	Dactylidispora ellipsospora	Dactylidispora	Ceratostomataceae	Coronophorales	Sordariomycetes	Ascomycota	Opisthokonta					104.45903004485484
barcode19	1661797	0.004225637349761074	Dactylidispora singaporensis	Dactylidispora	Ceratostomataceae	Coronophorales	Sordariomycetes	Ascomycota	Opisthokonta					180.84882729507444
barcode19	3058949	0.0018217587383993128	Gorgonomyces thailandicus	Gorgonomyces	Gorgonomycetaceae	Rhizophydiales	Chytridiomycetes	Chytridiomycota	Opisthokonta					77.96763048601379
barcode19	1754191	0.0006804585384148541	Piromyces finnis	Piromyces	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes	Chytridiomycota	Opisthokonta					29.12226452707893
barcode19	78917	0.001781794751520989	Piptocephalis corymbifera	Piptocephalis	Piptocephalidaceae	Zoopagales	Zoopagomycetes	Zoopagomycota	Opisthokonta					76.2572517755953
barcode19	1485682	0.010509391107878619	Mitosporidium daphniae	Mitosporidium				Microsporidia	Opisthokonta					449.7809206349891
barcode19	1095183	0.0004921898637696452	Magnusiomyces capitatus	Magnusiomyces	Dipodascaceae	Dipodascales	Dipodascomycetes	Ascomycota	Opisthokonta					21.064741789613276
barcode19	61395	0.00030991539811189606	Linderina pennispora	Linderina	Kickxellaceae	Kickxellales	Kickxellomycetes	Zoopagomycota	Opisthokonta					13.263759208392928
barcode19	2704024	0.0014953927128861903	Vinositunica radiata	Vinositunica	Endogonaceae	Endogonales	Endogonomycetes	Mucoromycota	Opisthokonta					63.99981732610317
barcode19	1396493	0.0020923317467114247	Fimicolochytrium jonesii	Fimicolochytrium	Powellomycetaceae	Spizellomycetales	Chytridiomycetes	Chytridiomycota	Opisthokonta					89.54761409575555
barcode19	423455	0.0008786093747577614	Basidiobolus heterosporus	Basidiobolus	Basidiobolaceae	Basidiobolales	Basidiobolomycetes	Zoopagomycota	Opisthokonta					37.602724020882675
barcode19	45553	0.0006287484442166855	Wickerhamiella galacta	Wickerhamiella	Trichomonascaceae	Dipodascales	Dipodascomycetes	Ascomycota	Opisthokonta					26.909175915585706
barcode19	1431932	0.0013292571385621148	Amycosphaerella africana	Amycosphaerella	Mycosphaerellaceae	Mycosphaerellales	Dothideomycetes	Ascomycota	Opisthokonta					56.88954701618139
barcode19	1396494	0.0003130174237907528	Fimicolochytrium alabamae	Fimicolochytrium	Powellomycetaceae	Spizellomycetales	Chytridiomycetes	Chytridiomycota	Opisthokonta					13.396519703396637
barcode19	1396496	0.0013417873775415654	Thoreauomyces humboldtii	Thoreauomyces	Powellomycetaceae	Spizellomycetales	Chytridiomycetes	Chytridiomycota	Opisthokonta					57.425816184023915
barcode19	62132	0.003816269225300337	Capnobotryella renispora	Capnobotryella	Teratosphaeriaceae	Mycosphaerellales	Dothideomycetes	Ascomycota	Opisthokonta					163.32869030440384
barcode19	4860	0.013179535309493184	Basidiobolus magnus	Basidiobolus	Basidiobolaceae	Basidiobolales	Basidiobolomycetes	Zoopagomycota	Opisthokonta					564.0577521756893
barcode19	61418	0.0036991966597508916	Spiromyces minutus	Spiromyces	Kickxellaceae	Kickxellales	Kickxellomycetes	Zoopagomycota	Opisthokonta					158.31821864401866
barcode19	1246581	0.0009944300730744616	Paramicrosporidium saccamoebae	Paramicrosporidium				Cryptomycota	Opisthokonta					42.559618267440804
barcode19	308927	0.0064430873382672815	Diversispora spurca	Diversispora	Diversisporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					275.7512519031631
barcode19	2650714	0.0033729712724466527	Diversispora aurantia	Diversispora	Diversisporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					144.35642451817185
barcode19	2991561	0.007989135326779051	Linnemannia solitaria	Linnemannia	Mortierellaceae	Mortierellales	Mortierellomycetes	Mucoromycota	Opisthokonta					341.9190137154898
barcode19	85574	0.0033786465002687937	Kodamaea kakaduensis	Kodamaea	Debaryomycetaceae	Serinales	Pichiomycetes	Ascomycota	Opisthokonta					144.59931291850384
barcode19	2558025	0.0009393584721563196	Milesina woodwardiana	Milesina	Milesinaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Opisthokonta					40.20266389134617
barcode19	299329	0.015357242568502382	Metschnikowia vanudenii	Metschnikowia	Metschnikowiaceae	Serinales	Pichiomycetes	Ascomycota	Opisthokonta					657.259267446765
barcode19	2832334	0.001124991762017925	Wickerhamiella osmotolerans	Wickerhamiella	Trichomonascaceae	Dipodascales	Dipodascomycetes	Ascomycota	Opisthokonta					48.14739743084316
barcode19	2832335	0.0008005498863479512	Wickerhamiella tropicalis	Wickerhamiella	Trichomonascaceae	Dipodascales	Dipodascomycetes	Ascomycota	Opisthokonta					34.261934035919616
barcode19	1041604	0.0012090810668989494	Sungouiella pseudoflosculorum	Sungouiella	Metschnikowiaceae	Serinales	Pichiomycetes	Ascomycota	Opisthokonta					51.74625150114124
barcode19	115786	0.001035459592176401	[Candida] orba	Phaffomyces	Phaffomycetaceae	Phaffomycetales	Saccharomycetes	Ascomycota	Opisthokonta					44.31559962596561
barcode19	174643	0.019404951475323028	Metschnikowia dekortorum	Metschnikowia	Metschnikowiaceae	Serinales	Pichiomycetes	Ascomycota	Opisthokonta					830.4931132408749
barcode19	329884	0.0017479961032482868	Friedmanniomyces simplex	Friedmanniomyces	Teratosphaeriaceae	Mycosphaerellales	Dothideomycetes	Ascomycota	Opisthokonta					74.81073722682018
barcode19	46584	0.0028131131456432326	Danielia oregonensis	Danielia	Metschnikowiaceae	Serinales	Pichiomycetes	Ascomycota	Opisthokonta					120.39561640723907
barcode19	112090	0.004607076043051248	Aphanomyces astaci	Aphanomyces	Verrucalvaceae	Saprolegniales	Saprolegniomycetes	Oomycota	Sar					197.17364049050732
barcode19	157072	0.0028576426048297944	Aphanomyces invadans	Aphanomyces	Verrucalvaceae	Saprolegniales	Saprolegniomycetes	Oomycota	Sar					122.30138820150555
barcode19	1470396	0.00032711808963035646	Deakozyma indianensis	Deakozyma	Trichomonascaceae	Dipodascales	Dipodascomycetes	Ascomycota	Opisthokonta					13.999999999999996
barcode19	4779	0.001683181713481063	Bremia lactucae	Bremia	Peronosporaceae	Peronosporales	Peronosporomycetes	Oomycota	Sar					72.03681097356254
barcode19	2978459	0.0007701141157738301	Kirschsteiniothelia puerensis	Kirschsteiniothelia	Kirschsteiniotheliaceae	Kirschsteiniotheliales	Dothideomycetes	Ascomycota	Opisthokonta					32.95934392688838
barcode19	2654861	0.00509116308826125	Quaeritorhiza haematococci	Quaeritorhiza	Quaeritorhizaceae		Chytridiomycetes	Chytridiomycota	Opisthokonta					217.89159785140498
barcode19	78545	0.002051207372085344	Acaulospora laevis	Acaulospora	Acaulosporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					87.78757311050856
barcode19	937378	0.0023931088590830535	Acaulospora entreriana	Acaulospora	Acaulosporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					102.42027295103652
barcode19	27374	0.0002581023883820212	Acaulospora spinosa	Acaulospora	Acaulosporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					11.046266017973744
barcode19	27376	0.0026582712341787287	Acaulospora colombiana	Acaulospora	Acaulosporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					113.76869228038123
barcode19	1079897	0.005153888270005737	Acaulospora cavernata	Acaulospora	Acaulosporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					220.57611017970552
barcode19	2588764	0.0009630522966490848	Archaeospora ecuadoriana	Archaeospora	Archaeosporaceae	Archaeosporales	Glomeromycetes	Mucoromycota	Opisthokonta					41.21671219198753
