status	phylum	rows	estimated_reads	row_share_pct	read_share_pct
kept	Ascomycota	377	42336.429735	41.292	22.314
kept	Mucoromycota	85	38495.948140	9.310	20.290
kept	Chlorophyta	12	35256.553250	1.314	18.583
kept	Basidiomycota	255	29661.075882	27.930	15.634
kept	Chytridiomycota	116	28108.221611	12.705	14.815
kept	Zoopagomycota	30	5777.879748	3.286	3.045
kept	Oomycota	20	4960.869902	2.191	2.615
kept	Microsporidia	4	4113.136502	0.438	2.168
kept	Cryptomycota	6	530.798762	0.657	0.280
kept	Blastocladiomycota	3	261.214320	0.329	0.138
kept	Bacillariophyta	3	113.447911	0.329	0.060
kept	Olpidiomycota	2	111.284190	0.219	0.059
removed	Streptophyta	129	88598.040925	32.908	52.114
removed	Arthropoda	92	40918.421207	23.469	24.069
removed	Chordata	86	23633.792733	21.939	13.902
removed	Mollusca	17	7077.989836	4.337	4.163
removed	(blank)	16	3058.909763	4.082	1.799
removed	Cnidaria	20	2583.523269	5.102	1.520
removed	Apicomplexa	8	1520.770990	2.041	0.895
removed	Perkinsozoa	3	714.967127	0.765	0.421
removed	Parabasalia	6	677.703230	1.531	0.399
removed	Tardigrada	3	645.484135	0.765	0.380
removed	Porifera	5	274.114295	1.276	0.161
removed	Platyhelminthes	3	113.652586	0.765	0.067
removed	Nemertea	1	110.331272	0.255	0.065
removed	Nematoda	2	59.438790	0.510	0.035
removed	Evosea	1	19.999888	0.255	0.012

totals	all	1305	359734.000000	100.000	100.000
totals	kept	913	189726.859954	69.962	52.741
totals	removed	392	170007.140046	30.038	47.259
