sample_id	cluster_id	abundance	member_taxids	member_taxa	read_count
barcode19	0	0.000374	55514;181762;742028;2565641;2576354;2841483;2877764	55514||Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactarius|Lactarius deliciosus;181762||Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Psilocybe|Psilocybe cubensis;742028||Basidiomycota|Agaricomycetes|Agaricales||Xeromphalina|Xeromphalina setulipes;2565641||Basidiomycota|Agaricomycetes|Thelephorales|Thelephoraceae|Tomentella|Tomentella longiechinula;2576354||Basidiomycota|Agaricomycetes|Agaricales|Pluteaceae|Volvariella|Volvariella pulla;2841483||Basidiomycota|Agaricomycetes|Thelephorales|Thelephoraceae|Tomentella|Tomentella exiguelata;2877764||Basidiomycota|Tremellomycetes|Cystofilobasidiales|Mrakiaceae|Phaffia|Phaffia aurantiaca	16.000000
barcode19	1	0.000691	554065	554065||Chlorophyta|Trebouxiophyceae|Chlorellales|Chlorellaceae|Chlorella|Chlorella variabilis	29.600000
barcode19	10	0.000261	1873960	1873960||Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Pseudocercospora|Pseudocercospora fijiensis	11.200000
barcode19	102	0.000748	1938712	1938712||Basidiomycota|Atractiellomycetes|Atractiellales|Hoehnelomycetaceae|Atractiella|Atractiella rhizophila	32.000000
barcode19	103	0.000327	1470396	1470396||Ascomycota|Dipodascomycetes|Dipodascales|Trichomonascaceae|Deakozyma|Deakozyma indianensis	14.000000
barcode19	107	0.001379	1571505;2704583	1571505||Ascomycota|Dothideomycetes|Pleosporales|Lentitheciaceae|Darksidea|Darksidea zeta;2704583||Ascomycota|Dothideomycetes|Pleosporales|Lentitheciaceae|Darksidea|Darksidea phi	59.000000
barcode19	109	0.001225	2544956	2544956||Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Dicephalospora|Dicephalospora sessilis	52.400000
barcode19	110	0.000266	2544971	2544971||Ascomycota|Leotiomycetes|Helotiales|Mollisiaceae|Neomollisia|Neomollisia gelatinosa	11.400000
barcode19	112	0.000490	1987568	1987568||Chytridiomycota|Neocallimastigomycetes|Neocallimastigales|Neocallimastigaceae|Pecoramyces|Pecoramyces ruminantium	21.000000
barcode19	113	0.001971	1486924	1486924||Chytridiomycota|Chytridiomycetes|Gromochytriales|Gromochytriaceae|Gromochytrium|Gromochytrium mamkaevae	84.400000
barcode19	114	0.001393	2066077;2929137	2066077||Ascomycota|Sordariomycetes|Phyllachorales|Phyllachoraceae|Phyllachora|Phyllachora panicicola;2929137||Ascomycota|Sordariomycetes|Phyllachorales|Phyllachoraceae|Phyllachora|Phyllachora sandiensis	59.700000
barcode19	115	0.000770	2978459	2978459||Ascomycota|Dothideomycetes|Kirschsteiniotheliales|Kirschsteiniotheliaceae|Kirschsteiniothelia|Kirschsteiniothelia puerensis	33.000000
barcode19	116	0.000911	2681178	2681178||Ascomycota|Sordariomycetes|Meliolales|Meliolaceae|Meliola|Meliola pottsiae	39.000000
barcode19	121	0.005091	2654861	2654861||Chytridiomycota|Chytridiomycetes||Quaeritorhizaceae|Quaeritorhiza|Quaeritorhiza haematococci	217.900000
barcode19	122	0.029195	693156	693156||Chytridiomycota|Chytridiomycetes|Chytridiales|Chytridiaceae|Chytridium|Chytridium olla	1249.500000
