sample_id	cluster_id	abundance	Kingdom	Phylum	Class	Order	Family	Genus	Species	ncbi tax number	read_count
barcode19	36	0.032376843153		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella shivajii	564305	1385.7
barcode19	48	0.009798039918		Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri	3067	419.3
barcode19	48	0.101812903626		Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii	3055	4357.4
barcode19	1	0.000691373449		Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella variabilis	554065	29.6
barcode19	130	0.000499728572		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya	Gonapodya prolifera	1123529	21.4
barcode19	200	0.016046257619		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Monoblepharidaceae	Monoblepharis	Monoblepharis macrandra	150278	686.7
barcode19	42	0.001312696105		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales		Hyaloraphidium	Hyaloraphidium curvatum	82268	56.2
barcode19	122	0.029194873874		Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Chytridium	Chytridium olla	693156	1249.5
barcode19	274	0.000564542666		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Terramycetaceae	Terramyces	Terramyces aquatica	3231536	24.2
barcode19	97	0.002440745597		Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	Dactylidispora	Dactylidispora ellipsospora	1661796	104.5
barcode19	97	0.004225637350		Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	Dactylidispora	Dactylidispora singaporensis	1661797	180.8
barcode19	303	0.001821758738		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Gorgonomycetaceae	Gorgonomyces	Gorgonomyces thailandicus	3058949	78.0
barcode19	194	0.000680458538		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Piromyces	Piromyces finnis	1754191	29.1
barcode19	68	0.001781794752		Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis corymbifera	78917	76.3
barcode19	24	0.010509391108		Microsporidia				Mitosporidium	Mitosporidium daphniae	1485682	449.8
barcode19	94	0.000492189864		Ascomycota	Dipodascomycetes	Dipodascales	Dipodascaceae	Magnusiomyces	Magnusiomyces capitatus	1095183	21.1
barcode19	23	0.000309915398		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Linderina	Linderina pennispora	61395	13.3
barcode19	58	0.001495392713		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Vinositunica	Vinositunica radiata	2704024	64.0
barcode19	32	0.002092331747		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Fimicolochytrium	Fimicolochytrium jonesii	1396493	89.5
barcode19	78	0.000878609375		Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus heterosporus	423455	37.6
barcode19	60	0.000628748444		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella galacta	45553	26.9
barcode19	38	0.001329257139		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Amycosphaerella	Amycosphaerella africana	1431932	56.9
barcode19	32	0.000313017424		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Fimicolochytrium	Fimicolochytrium alabamae	1396494	13.4
barcode19	32	0.001341787378		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Thoreauomyces	Thoreauomyces humboldtii	1396496	57.4
barcode19	38	0.003816269225		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Capnobotryella	Capnobotryella renispora	62132	163.3
barcode19	78	0.013179535309		Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus magnus	4860	564.1
barcode19	62	0.003699196660		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Spiromyces	Spiromyces minutus	61418	158.3
barcode19	271	0.000994430073		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae	1246581	42.6
barcode19	229	0.006443087338		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora spurca	308927	275.8
barcode19	231	0.003372971272		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora aurantia	2650714	144.4
barcode19	222	0.007989135327		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia solitaria	2991561	341.9
barcode19	289	0.003378646500		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea kakaduensis	85574	144.6
barcode19	197	0.000939358472		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana	2558025	40.2
barcode19	284	0.015357242569		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia vanudenii	299329	657.3
barcode19	49	0.001124991762		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella osmotolerans	2832334	48.1
barcode19	49	0.000800549886		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella tropicalis	2832335	34.3
barcode19	286	0.001209081067		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Sungouiella	Sungouiella pseudoflosculorum	1041604	51.7
barcode19	261	0.001035459592		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba	115786	44.3
barcode19	301	0.019404951475		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia dekortorum	174643	830.5
