OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_48	33450	4777	10128	18545	2		Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii
OTU_251	11249	1397	3499	6353	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa
OTU_122	10793	1250	3318	6225	1		Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Chytridium	Chytridium olla
OTU_58	10625	586	2570	7468	6		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Vinositunica	Vinositunica ingens
OTU_38	9923	524	2835	6564	26		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Salinomyces	Salinomyces polonicus
OTU_36	9513	1386	2488	5640	3		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella shivajii
OTU_200	6687	687	2186	3814	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Monoblepharidaceae	Monoblepharis	Monoblepharis macrandra
OTU_301	6110	830	1267	4013	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia dekortorum
OTU_284	3852	657	830	2365	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia vanudenii
OTU_24	3846	450	866	2530	1		Microsporidia				Mitosporidium	Mitosporidium daphniae
OTU_29	3810	31	2282	1497	8		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Gloiocephala	Gloiocephala aquatica
OTU_32	3218	693	723	1801	11		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Fimicolochytrium	Fimicolochytrium jonesii
OTU_222	2945	342	904	1699	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia solitaria
OTU_205	2728	114	633	1981	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora colombiana
OTU_78	2716	602	617	1498	2		Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus magnus
OTU_229	2645	276	915	1454	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora spurca
OTU_97	2583	285	1059	1238	5		Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	Dactylidispora	Dactylidispora singaporensis
OTU_0	2468	16	2365	87	7		Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe cubensis
OTU_31	2156	197	653	1307	1		Oomycota	Saprolegniomycetes	Saprolegniales	Verrucalvaceae	Aphanomyces	Aphanomyces astaci
OTU_121	1721	218	396	1106	1		Chytridiomycota	Chytridiomycetes		Quaeritorhizaceae	Quaeritorhiza	Quaeritorhiza haematococci
OTU_63	1665	80	454	1131	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata	Dentiscutata savannicola
OTU_252	1555	346	322	887	1		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia wiehei
OTU_66	1535	120	445	970	6		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Danielia	Danielia oregonensis
OTU_62	1352	158	295	898	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Spiromyces	Spiromyces minutus
OTU_188	1350	42	284	1025	2		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum pinicola
