OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	matched_family	category	evidence_class	priority_tier
OTU_251	barcode19	1397	0.496623	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa	Gigasporaceae	Phytoremediation_facilitation	D	Supportive
OTU_251	barcode20	3499	0.480302	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa	Gigasporaceae	Phytoremediation_facilitation	D	Supportive
OTU_251	barcode21	6353	0.431150	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa	Gigasporaceae	Phytoremediation_facilitation	D	Supportive
OTU_222	barcode19	342	0.121578	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia solitaria	Mortierellaceae	Hydrocarbon_pollutant_associated	C	Secondary
OTU_222	barcode20	904	0.124091	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia solitaria	Mortierellaceae	Hydrocarbon_pollutant_associated	C	Secondary
OTU_222	barcode21	1699	0.115304	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia solitaria	Mortierellaceae	Hydrocarbon_pollutant_associated	C	Secondary
OTU_205	barcode19	114	0.040526	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora colombiana	Acaulosporaceae	Phytoremediation_facilitation	D	Supportive
OTU_205	barcode20	633	0.086891	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora colombiana	Acaulosporaceae	Phytoremediation_facilitation	D	Supportive
OTU_205	barcode21	1981	0.134442	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora colombiana	Acaulosporaceae	Phytoremediation_facilitation	D	Supportive
OTU_229	barcode19	276	0.098116	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora spurca	Diversisporaceae	Phytoremediation_facilitation	D	Supportive
OTU_229	barcode20	915	0.125601	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora spurca	Diversisporaceae	Phytoremediation_facilitation	D	Supportive
OTU_229	barcode21	1454	0.098677	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora spurca	Diversisporaceae	Phytoremediation_facilitation	D	Supportive
OTU_63	barcode19	80	0.028439	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata	Dentiscutata savannicola	Gigasporaceae	Phytoremediation_facilitation	D	Supportive
