OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	threepoint_status	matched_phylum	category
OTU_251	11249	1397	3499	6353	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_58	10625	586	2570	7468	6		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Vinositunica	Vinositunica ingens	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_38	9923	524	2835	6564	26		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Salinomyces	Salinomyces polonicus	pass	Ascomycota	Pollutant_responsive
OTU_36	9513	1386	2488	5640	3		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella shivajii	pass	Basidiomycota	Direct_POP_degradation
OTU_301	6110	830	1267	4013	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia dekortorum	pass	Ascomycota	Pollutant_responsive
OTU_284	3852	657	830	2365	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia vanudenii	pass	Ascomycota	Pollutant_responsive
OTU_29	3810	31	2282	1497	8		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Gloiocephala	Gloiocephala aquatica	pass	Basidiomycota	Direct_POP_degradation
OTU_222	2945	342	904	1699	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia solitaria	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_205	2728	114	633	1981	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora colombiana	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_229	2645	276	915	1454	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora spurca	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_97	2583	285	1059	1238	5		Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	Dactylidispora	Dactylidispora singaporensis	pass	Ascomycota	Pollutant_responsive
OTU_0	2468	16	2365	87	7		Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe cubensis	pass	Basidiomycota	Direct_POP_degradation
OTU_63	1665	80	454	1131	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata	Dentiscutata savannicola	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
