OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	matched_phylum	category
OTU_251	barcode19	1397	0.136840	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_251	barcode20	3499	0.126222	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_251	barcode21	6353	0.114851	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_58	barcode19	586	0.057400	6		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Vinositunica	Vinositunica ingens	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_58	barcode20	2570	0.092709	6		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Vinositunica	Vinositunica ingens	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_58	barcode21	7468	0.135009	6		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Vinositunica	Vinositunica ingens	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_38	barcode19	524	0.051327	26		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Salinomyces	Salinomyces polonicus	Ascomycota	Pollutant_responsive
OTU_38	barcode20	2835	0.102269	26		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Salinomyces	Salinomyces polonicus	Ascomycota	Pollutant_responsive
OTU_38	barcode21	6564	0.118666	26		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Salinomyces	Salinomyces polonicus	Ascomycota	Pollutant_responsive
OTU_36	barcode19	1386	0.135763	3		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella shivajii	Basidiomycota	Direct_POP_degradation
OTU_36	barcode20	2488	0.089751	3		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella shivajii	Basidiomycota	Direct_POP_degradation
OTU_36	barcode21	5640	0.101961	3		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella shivajii	Basidiomycota	Direct_POP_degradation
OTU_301	barcode19	830	0.081301	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia dekortorum	Ascomycota	Pollutant_responsive
OTU_301	barcode20	1267	0.045705	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia dekortorum	Ascomycota	Pollutant_responsive
OTU_301	barcode21	4013	0.072548	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia dekortorum	Ascomycota	Pollutant_responsive
OTU_284	barcode19	657	0.064355	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia vanudenii	Ascomycota	Pollutant_responsive
OTU_284	barcode20	830	0.029941	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia vanudenii	Ascomycota	Pollutant_responsive
OTU_284	barcode21	2365	0.042755	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia vanudenii	Ascomycota	Pollutant_responsive
