OTU_ID	Genus	Species	Phylum	matched_phylum	category	total_reads	threepoint_status	barcode19	barcode20	barcode21
OTU_251	Racocetra	Racocetra crispa	Mucoromycota	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation	11249	pass	1397	3499	6353
OTU_58	Vinositunica	Vinositunica ingens	Mucoromycota	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation	10625	pass	586	2570	7468
OTU_38	Salinomyces	Salinomyces polonicus	Ascomycota	Ascomycota	Pollutant_responsive	9923	pass	524	2835	6564
OTU_36	Kwoniella	Kwoniella shivajii	Basidiomycota	Basidiomycota	Direct_POP_degradation	9513	pass	1386	2488	5640
OTU_301	Metschnikowia	Metschnikowia dekortorum	Ascomycota	Ascomycota	Pollutant_responsive	6110	pass	830	1267	4013
OTU_284	Metschnikowia	Metschnikowia vanudenii	Ascomycota	Ascomycota	Pollutant_responsive	3852	pass	657	830	2365
OTU_29	Gloiocephala	Gloiocephala aquatica	Basidiomycota	Basidiomycota	Direct_POP_degradation	3810	pass	31	2282	1497
OTU_222	Linnemannia	Linnemannia solitaria	Mucoromycota	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation	2945	pass	342	904	1699
OTU_205	Acaulospora	Acaulospora colombiana	Mucoromycota	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation	2728	pass	114	633	1981
OTU_229	Diversispora	Diversispora spurca	Mucoromycota	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation	2645	pass	276	915	1454
OTU_97	Dactylidispora	Dactylidispora singaporensis	Ascomycota	Ascomycota	Pollutant_responsive	2583	pass	285	1059	1238
OTU_0	Psilocybe	Psilocybe cubensis	Basidiomycota	Basidiomycota	Direct_POP_degradation	2468	pass	16	2365	87
OTU_63	Dentiscutata	Dentiscutata savannicola	Mucoromycota	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation	1665	pass	80	454	1131
OTU_252	Puccinia	Puccinia wiehei	Basidiomycota	Basidiomycota	Direct_POP_degradation	1555	pass	346	322	887
OTU_66	Danielia	Danielia oregonensis	Ascomycota	Ascomycota	Pollutant_responsive	1535	pass	120	445	970
OTU_188	Hydnum	Hydnum pinicola	Basidiomycota	Basidiomycota	Direct_POP_degradation	1350	pass	42	284	1025
OTU_231	Diversispora	Diversispora aurantia	Mucoromycota	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation	1340	pass	144	387	809
OTU_41	Parastagonospora	Parastagonospora nodorum	Ascomycota	Ascomycota	Pollutant_responsive	1128	pass	33	22	1074
OTU_35	Sugiyamaella	Sugiyamaella lignohabitans	Ascomycota	Ascomycota	Pollutant_responsive	1068	pass	241	217	609
OTU_90	Metschnikowia	Metschnikowia laotica	Ascomycota	Ascomycota	Pollutant_responsive	786	pass	44	216	525
OTU_289	Kodamaea	Kodamaea kakaduensis	Ascomycota	Ascomycota	Pollutant_responsive	773	pass	145	153	476
OTU_15	Gloniopsis	Gloniopsis calami	Ascomycota	Ascomycota	Pollutant_responsive	685	pass	107	217	362
OTU_71	Kodamaea	Kodamaea ohmeri	Ascomycota	Ascomycota	Pollutant_responsive	683	pass	23	170	491
OTU_137	Hydnum	Hydnum reginae	Basidiomycota	Basidiomycota	Direct_POP_degradation	675	pass	39	192	444
OTU_91	Lipomyces	Lipomyces oligophaga	Ascomycota	Ascomycota	Pollutant_responsive	665	pass	117	160	389
OTU_49	Wickerhamiella	Wickerhamiella osmotolerans	Ascomycota	Ascomycota	Pollutant_responsive	588	pass	82	155	351
OTU_44	Yamadazyma	[Candida] blattariae	Ascomycota	Ascomycota	Pollutant_responsive	578	pass	122	200	256
