OTU_ID	Genus	Species	Phylum	total_reads	barcode19	barcode20	barcode21	min_all	threepoint_status
OTU_48	Chlamydomonas	Chlamydomonas reinhardtii	Chlorophyta	33450	4777	10128	18545	4777.0	pass
OTU_251	Racocetra	Racocetra crispa	Mucoromycota	11249	1397	3499	6353	1397.0	pass
OTU_122	Chytridium	Chytridium olla	Chytridiomycota	10793	1250	3318	6225	1250.0	pass
OTU_58	Vinositunica	Vinositunica ingens	Mucoromycota	10625	586	2570	7468	586.0	pass
OTU_38	Salinomyces	Salinomyces polonicus	Ascomycota	9923	524	2835	6564	524.0	pass
OTU_36	Kwoniella	Kwoniella shivajii	Basidiomycota	9513	1386	2488	5640	1386.0	pass
OTU_200	Monoblepharis	Monoblepharis macrandra	Chytridiomycota	6687	687	2186	3814	687.0	pass
OTU_301	Metschnikowia	Metschnikowia dekortorum	Ascomycota	6110	830	1267	4013	830.0	pass
OTU_284	Metschnikowia	Metschnikowia vanudenii	Ascomycota	3852	657	830	2365	657.0	pass
OTU_24	Mitosporidium	Mitosporidium daphniae	Microsporidia	3846	450	866	2530	450.0	pass
OTU_29	Gloiocephala	Gloiocephala aquatica	Basidiomycota	3810	31	2282	1497	31.0	pass
OTU_32	Fimicolochytrium	Fimicolochytrium jonesii	Chytridiomycota	3218	693	723	1801	693.0	pass
OTU_222	Linnemannia	Linnemannia solitaria	Mucoromycota	2945	342	904	1699	342.0	pass
OTU_205	Acaulospora	Acaulospora colombiana	Mucoromycota	2728	114	633	1981	114.0	pass
OTU_78	Basidiobolus	Basidiobolus magnus	Zoopagomycota	2716	602	617	1498	602.0	pass
OTU_229	Diversispora	Diversispora spurca	Mucoromycota	2645	276	915	1454	276.0	pass
OTU_97	Dactylidispora	Dactylidispora singaporensis	Ascomycota	2583	285	1059	1238	285.0	pass
OTU_0	Psilocybe	Psilocybe cubensis	Basidiomycota	2468	16	2365	87	16.0	pass
OTU_31	Aphanomyces	Aphanomyces astaci	Oomycota	2156	197	653	1307	197.0	pass
OTU_121	Quaeritorhiza	Quaeritorhiza haematococci	Chytridiomycota	1721	218	396	1106	218.0	pass
OTU_63	Dentiscutata	Dentiscutata savannicola	Mucoromycota	1665	80	454	1131	80.0	pass
OTU_252	Puccinia	Puccinia wiehei	Basidiomycota	1555	346	322	887	322.0	pass
OTU_66	Danielia	Danielia oregonensis	Ascomycota	1535	120	445	970	120.0	pass
OTU_62	Spiromyces	Spiromyces minutus	Zoopagomycota	1352	158	295	898	158.0	pass
OTU_188	Hydnum	Hydnum pinicola	Basidiomycota	1350	42	284	1025	42.0	pass
OTU_231	Diversispora	Diversispora aurantia	Mucoromycota	1340	144	387	809	144.0	pass
OTU_25	Phytophthora	Phytophthora infestans	Oomycota	1329	102	344	883	102.0	pass
OTU_41	Parastagonospora	Parastagonospora nodorum	Ascomycota	1128	33	22	1074	22.0	pass
OTU_35	Sugiyamaella	Sugiyamaella lignohabitans	Ascomycota	1068	241	217	609	217.0	pass
OTU_27	Aphanomyces	Aphanomyces invadans	Oomycota	1033	122	262	649	122.0	pass
OTU_90	Metschnikowia	Metschnikowia laotica	Ascomycota	786	44	216	525	44.0	pass
OTU_289	Kodamaea	Kodamaea kakaduensis	Ascomycota	773	145	153	476	145.0	pass
OTU_15	Gloniopsis	Gloniopsis calami	Ascomycota	685	107	217	362	107.0	pass
OTU_71	Kodamaea	Kodamaea ohmeri	Ascomycota	683	23	170	491	23.0	pass
OTU_137	Hydnum	Hydnum reginae	Basidiomycota	675	39	192	444	39.0	pass
OTU_91	Lipomyces	Lipomyces oligophaga	Ascomycota	665	117	160	389	117.0	pass
OTU_113	Gromochytrium	Gromochytrium mamkaevae	Chytridiomycota	661	84	205	372	84.0	pass
OTU_68	Piptocephalis	Piptocephalis corymbifera	Zoopagomycota	624	76	139	408	76.0	pass
OTU_303	Gorgonomyces	Gorgonomyces thailandicus	Chytridiomycota	623	78	221	324	78.0	pass
OTU_49	Wickerhamiella	Wickerhamiella osmotolerans	Ascomycota	588	82	155	351	82.0	pass
OTU_294	Buwchfawromyces	Buwchfawromyces eastonii	Chytridiomycota	582	24	152	406	24.0	pass
OTU_44	Yamadazyma	[Candida] blattariae	Ascomycota	578	122	200	256	122.0	pass
OTU_77	Archaeospora	Archaeospora ecuadoriana	Mucoromycota	569	41	195	333	41.0	pass
OTU_118	Lobosporangium	Lobosporangium transversale	Mucoromycota	564	0	108	456	0.0	fail
OTU_88	Pucciniastrum	Pucciniastrum myosotidii	Basidiomycota	562	438	45	79	45.0	pass
OTU_73	Sporobolomyces	Sporobolomyces beijingensis	Basidiomycota	558	33	116	409	33.0	pass
OTU_179	Sporobolomyces	Sporobolomyces cellobiolyticus	Basidiomycota	507	35	165	306	35.0	pass
OTU_46	Monilochaetes	Monilochaetes dimorphospora	Ascomycota	488	186	142	160	142.0	pass
OTU_116	Meliola	Meliola pottsiae	Ascomycota	462	39	96	327	39.0	pass
OTU_271	Paramicrosporidium	Paramicrosporidium saccamoebae	Cryptomycota	456	43	138	275	43.0	pass
OTU_197	Milesina	Milesina woodwardiana	Basidiomycota	450	40	101	308	40.0	pass
OTU_258	Entomortierella	Entomortierella sugadairana	Mucoromycota	448	43	73	332	43.0	pass
OTU_53	Candidozyma	Candidozyma pseudohaemuli	Ascomycota	415	0	143	272	0.0	fail
OTU_216	Redeckera	Redeckera megalocarpum	Mucoromycota	380	43	95	243	43.0	pass
OTU_57	Acaulospora	Acaulospora cavernata	Mucoromycota	371	232	43	97	43.0	pass
OTU_296	Candidozyma	Candidozyma khanbhai	Ascomycota	355	0	102	253	0.0	fail
OTU_61	Pichia	[Candida] silvatica	Ascomycota	346	0	100	246	0.0	fail
OTU_157	Sistotrema	Sistotrema luteoviride	Basidiomycota	342	0	79	263	0.0	fail
OTU_23	Linderina	Linderina pennispora	Zoopagomycota	332	13	62	256	13.0	pass
OTU_261	Phaffomyces	[Candida] orba	Ascomycota	330	44	105	180	44.0	pass
OTU_72	Danielozyma	Danielozyma litseae	Ascomycota	323	43	100	180	43.0	pass
OTU_270	Alternaria	Alternaria sorghi	Ascomycota	314	0	74	240	0.0	fail
OTU_84	Novakomyces	Novakomyces olei	Ascomycota	306	19	72	215	19.0	pass
OTU_42	Hyaloraphidium	Hyaloraphidium curvatum	Chytridiomycota	304	56	125	123	56.0	pass
OTU_293	Acaulospora	Acaulospora laevis	Mucoromycota	302	88	56	158	56.0	pass
OTU_109	Dicephalospora	Dicephalospora sessilis	Ascomycota	301	52	65	183	52.0	pass
OTU_39	Kalmanozyma	Kalmanozyma brasiliensis	Basidiomycota	295	29	161	105	29.0	pass
OTU_176	Feramyces	Feramyces austinii	Chytridiomycota	277	0	126	151	0.0	fail
OTU_60	Wickerhamiella	Wickerhamiella galacta	Ascomycota	268	27	115	126	27.0	pass
OTU_21	Allomyces	Allomyces arbusculus	Blastocladiomycota	261	45	72	144	45.0	pass
OTU_107	Darksidea	Darksidea zeta	Ascomycota	258	59	65	134	59.0	pass
OTU_52	Cystofilobasidium	Cystofilobasidium macerans	Basidiomycota	248	0	64	184	0.0	fail
OTU_152	Lentaria	Lentaria variabilis	Basidiomycota	245	0	56	189	0.0	fail
OTU_234	Basidiobolus	Basidiobolus haptosporus	Zoopagomycota	238	28	40	170	28.0	pass
OTU_140	Tomentella	Tomentella bidoupensis	Basidiomycota	233	0	233	0	0.0	fail
OTU_104	Adelosphaeria	Adelosphaeria catenata	Ascomycota	228	0	47	181	0.0	fail
OTU_22	Bremia	Bremia lactucae	Oomycota	227	72	50	105	50.0	pass
OTU_130	Gonapodya	Gonapodya prolifera	Chytridiomycota	221	21	72	127	21.0	pass
OTU_274	Terramyces	Terramyces aquatica	Chytridiomycota	218	24	88	106	24.0	pass
OTU_148	Orbilia	Orbilia comma	Ascomycota	217	0	59	158	0.0	fail
OTU_168	Bipolaris	Bipolaris sivanesaniana	Ascomycota	210	0	24	186	0.0	fail
OTU_268	Apiotrichum	Apiotrichum otae	Basidiomycota	210	72	108	30	30.0	pass
OTU_236	Dioszegia	Dioszegia ovata	Basidiomycota	209	74	135	0	0.0	fail
OTU_230	Dasyspora	Dasyspora frutescentis	Basidiomycota	204	130	24	50	24.0	pass
OTU_86	Cyberlindnera	Cyberlindnera mississippiensis	Ascomycota	195	17	67	111	17.0	pass
OTU_194	Piromyces	Piromyces finnis	Chytridiomycota	193	29	62	102	29.0	pass
OTU_182	Curvularia	Curvularia colbranii	Ascomycota	189	13	31	145	13.0	pass
OTU_286	Sungouiella	Sungouiella pseudoflosculorum	Ascomycota	187	52	58	77	52.0	pass
OTU_165	Filobasidium	Filobasidium globosum	Basidiomycota	186	0	30	157	0.0	fail
OTU_28	Pneumocystis	Pneumocystis jirovecii	Ascomycota	185	0	61	124	0.0	fail
OTU_102	Atractiella	Atractiella rhizophila	Basidiomycota	184	32	0	152	0.0	fail
OTU_280	Tricholomopsis	Tricholomopsis osiliensis	Basidiomycota	178	14	47	117	14.0	pass
OTU_95	Classicula	Classicula sinensis	Basidiomycota	174	23	44	107	23.0	pass
OTU_79	Saitoella	Saitoella complicata	Ascomycota	173	0	60	113	0.0	fail
OTU_3	Spizellomyces	Spizellomyces punctatus	Chytridiomycota	171	81	27	63	27.0	pass
OTU_143	Trigonosporomyces	Trigonosporomyces hylophilus	Basidiomycota	169	27	41	100	27.0	pass
OTU_1	Chlorella	Chlorella variabilis	Chlorophyta	164	30	49	85	30.0	pass
OTU_291	Myrmecridium	Myrmecridium hiemale	Ascomycota	153	0	0	153	0.0	fail
OTU_248	Tortispora	Tortispora agaves	Ascomycota	142	66	20	55	20.0	pass
OTU_83	Verruconis	Verruconis cylindricalis	Ascomycota	141	0	44	97	0.0	fail
OTU_26	Pisolithus	Pisolithus orientalis	Basidiomycota	140	0	41	99	0.0	fail
OTU_163	Lactifluus	Lactifluus chrysocarpus	Basidiomycota	140	57	28	55	28.0	pass
OTU_82	Myxozyma	Myxozyma vanderwaltii	Ascomycota	138	19	24	95	19.0	pass
OTU_10	Pseudocercospora	Pseudocercospora fijiensis	Ascomycota	135	11	46	78	11.0	pass
OTU_132	Chrysozyma	Chrysozyma sambuci	Basidiomycota	129	0	45	84	0.0	fail
OTU_275	Starmerella	Starmerella vitae	Ascomycota	129	15	27	86	15.0	pass
OTU_187	Solicoccozyma	Solicoccozyma zizaniae	Basidiomycota	126	0	40	86	0.0	fail
OTU_218	Terfezia	Terfezia dunensis	Ascomycota	122	0	0	122	0.0	fail
OTU_93	Naganishia	Naganishia cerealis	Basidiomycota	118	0	56	62	0.0	fail
OTU_115	Kirschsteiniothelia	Kirschsteiniothelia puerensis	Ascomycota	118	33	28	57	28.0	pass
OTU_170	Gymnosporangium	Gymnosporangium przewalskii	Basidiomycota	118	0	28	90	0.0	fail
OTU_64	Starmera	[Candida] dendrica	Ascomycota	112	0	82	30	0.0	fail
OTU_105	Olpidium	Olpidium brassicae	Olpidiomycota	111	0	24	87	0.0	fail
OTU_40	Narasimhella	Narasimhella hyalinospora	Ascomycota	109	0	0	109	0.0	fail
OTU_74	Ogataea	Ogataea wickerhamii	Ascomycota	107	0	22	85	0.0	fail
OTU_19	Atractospora	Atractospora decumbens	Ascomycota	104	13	32	58	13.0	pass
OTU_125	Microbotryozyma	Microbotryozyma swertiae	Basidiomycota	104	0	49	56	0.0	fail
OTU_232	Glomus	Glomus macrocarpum	Mucoromycota	104	0	0	104	0.0	fail
OTU_212	Acaulospora	Acaulospora entreriana	Mucoromycota	102	102	0	0	0.0	fail
OTU_221	Puccinia	Puccinia novopanici	Basidiomycota	101	0	52	49	0.0	fail
OTU_47	Phaeodactylum	Phaeodactylum tricornutum	Bacillariophyta	100	0	28	72	0.0	fail
