sample_id	tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group	estimated_counts
barcode19	564305	0.046941048544617586	Kwoniella shivajii	Kwoniella	Cryptococcaceae	Tremellales	Tremellomycetes	Basidiomycota	Opisthokonta					485.41738299989044
barcode19	329884	0.004833379408806023	Friedmanniomyces simplex	Friedmanniomyces	Teratosphaeriaceae	Mycosphaerellales	Dothideomycetes	Ascomycota	Opisthokonta					49.98197646646309
barcode19	1548888	0.004021296389961163	Pucciniastrum myosotidii	Pucciniastrum	Pucciniastraceae	Pucciniales	Pucciniomycetes	Basidiomycota	Opisthokonta					41.584225968588385
barcode19	2558025	0.0016397093266500803	Milesina woodwardiana	Milesina	Milesinaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Opisthokonta					16.95623414688848
barcode19	1485682	0.01949843373438661	Mitosporidium daphniae	Mitosporidium				Microsporidia	Opisthokonta					201.63330324729193
barcode19	419775	0.0017623786082955485	Durotheca rogersii	Durotheca	Xylariaceae	Xylariales	Sordariomycetes	Ascomycota	Opisthokonta					18.224757188384267
barcode19	693156	0.013349608976464599	Chytridium olla	Chytridium	Chytridiaceae	Chytridiales	Chytridiomycetes	Chytridiomycota	Opisthokonta					138.0483064256204
barcode19	2704023	0.0048672202693582035	Jimgerdemannia ambigua	Jimgerdemannia	Endogonaceae	Endogonales	Endogonomycetes	Mucoromycota	Opisthokonta					50.33192480543318
barcode19	2929137	0.006728351324454387	Phyllachora sandiensis	Phyllachora	Phyllachoraceae	Phyllachorales	Sordariomycetes	Ascomycota	Opisthokonta					69.57788104618281
barcode19	2544971	0.0014730547955231666	Neomollisia gelatinosa	Neomollisia	Mollisiaceae	Helotiales	Leotiomycetes	Ascomycota	Opisthokonta					15.232859640505065
barcode19	61418	0.0036979025464771668	Spiromyces minutus	Spiromyces	Kickxellaceae	Kickxellales	Kickxellomycetes	Zoopagomycota	Opisthokonta					38.24001023312038
barcode19	78917	0.001805491343247617	Piptocephalis corymbifera	Piptocephalis	Piptocephalidaceae	Zoopagales	Zoopagomycetes	Zoopagomycota	Opisthokonta					18.670585980523608
barcode19	45792	0.00247544583424158	Lipomyces oligophaga	Lipomyces	Lipomycetaceae	Lipomycetales	Lipomycetes	Ascomycota	Opisthokonta					25.59858537189218
barcode19	78545	0.0033073282407292235	Acaulospora laevis	Acaulospora	Acaulosporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					34.2010813373809
barcode19	308927	0.005706776071540817	Diversispora spurca	Diversispora	Diversisporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					59.013771355803584
barcode19	2650714	0.001015499796144769	Diversispora aurantia	Diversispora	Diversisporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					10.501283391933057
barcode19	1972599	0.0011476379497845715	Racocetra crispa	Racocetra	Gigasporaceae	Diversisporales	Glomeromycetes	Mucoromycota	Opisthokonta					11.867724038722253
barcode19	2943438	0.002439422478937705	Hydnum reginae	Hydnum	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Opisthokonta					25.226067854694808
barcode19	324621	0.0034115116198439478	Jimgerdemannia lactiflua	Jimgerdemannia	Endogonaceae	Endogonales	Endogonomycetes	Mucoromycota	Opisthokonta					35.278441660806266
barcode19	82268	0.003950461319009505	Hyaloraphidium curvatum	Hyaloraphidium		Monoblepharidales	Monoblepharidomycetes	Chytridiomycota	Opisthokonta					40.851720499877295
barcode19	4860	0.005940959544945339	Basidiobolus magnus	Basidiobolus	Basidiobolaceae	Basidiobolales	Basidiobolomycetes	Zoopagomycota	Opisthokonta					61.435462654279746
barcode19	382531	0.0024115503281087252	Protrudomyces lateralis	Protrudomyces	Protrudomycetaceae	Rhizophydiales	Chytridiomycetes	Chytridiomycota	Opisthokonta					24.937841942972327
barcode19	1123529	0.010185042379550254	Gonapodya prolifera	Gonapodya	Gonapodyaceae	Monoblepharidales	Monoblepharidomycetes	Chytridiomycota	Opisthokonta					105.32352324692918
barcode19	150278	0.002043553386839911	Monoblepharis macrandra	Monoblepharis	Monoblepharidaceae	Monoblepharidales	Monoblepharidomycetes	Chytridiomycota	Opisthokonta					21.132385573311517
