Phylum	n_otus	total_reads	pct_reads	mean_reads_per_otu	present_in_all_samples
Ascomycota	112	42070.6	22.205484628977878	375.6303571428571	113
Mucoromycota	22	38496	20.318757904026384	1749.8181818181818	50
Chlorophyta	2	35256.4	18.608849131533557	17628.2	8
Basidiomycota	115	29660.9	15.655461510690362	257.9208695652174	61
Chytridiomycota	38	28107.8	14.835712370500643	739.6789473684211	52
Zoopagomycota	8	5777.9000000000005	3.049661037346063	722.2375000000001	23
Oomycota	4	4960.8	2.6183835777819535	1240.2	15
Microsporidia	1	4113.1	2.170954985844008	4113.1	4
Cryptomycota	2	530.8000000000001	0.2801640870598817	265.40000000000003	4
Blastocladiomycota	1	261.3	0.13791800291776013	261.3	3
Bacillariophyta	2	113.5	0.05990697792256324	56.75	0
Olpidiomycota	1	111.30000000000001	0.058745785398954094	111.30000000000001	0
