OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	threepoint_status	cluster_id	cluster_total_support_reads	assigned_phylum_support_pct	top_phylum_in_cluster	top_phylum_support_pct	assigned_class_support_pct	top_class_in_cluster	top_class_support_pct	assigned_order_support_pct	top_order_in_cluster	top_order_support_pct	assigned_family_support_pct	top_family_in_cluster	top_family_support_pct	assigned_genus_support_pct	top_genus_in_cluster	top_genus_support_pct	assigned_species_support_pct	top_species_in_cluster	top_species_support_pct
OTU_48	33450	4777	10128	18545	2		Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii	pass	48	35082.600	100.00	Chlorophyta	100.00	100.00	Chlorophyceae	100.00	100.00	Chlamydomonadales	100.00	91.83	Chlamydomonadaceae	91.83	91.83	Chlamydomonas	91.83	91.83	Chlamydomonas reinhardtii	91.83
OTU_251	11249	1397	3499	6353	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa	pass	251	12065.800	100.00	Mucoromycota	100.00	100.00	Glomeromycetes	100.00	100.00	Diversisporales	100.00	100.00	Gigasporaceae	100.00	100.00	Racocetra	100.00	100.00	Racocetra crispa	100.00
OTU_122	10793	1250	3318	6225	1		Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Chytridium	Chytridium olla	pass	122	11246.300	100.00	Chytridiomycota	100.00	100.00	Chytridiomycetes	100.00	100.00	Chytridiales	100.00	100.00	Chytridiaceae	100.00	100.00	Chytridium	100.00	100.00	Chytridium olla	100.00
OTU_58	10625	586	2570	7468	6		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Vinositunica	Vinositunica ingens	pass	58	11175.300	100.00	Mucoromycota	100.00	100.00	Endogonomycetes	100.00	100.00	Endogonales	100.00	100.00	Endogonaceae	100.00	86.10	Vinositunica	86.10	81.80	Vinositunica ingens	81.80
OTU_38	9923	524	2835	6564	26		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Salinomyces	Salinomyces polonicus	pass	38	10447.800	100.00	Ascomycota	100.00	99.25	Dothideomycetes	99.25	69.52	Mycosphaerellales	69.52	59.73	Teratosphaeriaceae	59.73	31.44	Salinomyces	31.44	31.44	Salinomyces polonicus	31.44
OTU_36	9513	1386	2488	5640	3		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella shivajii	pass	36	9995.900	100.00	Basidiomycota	100.00	100.00	Tremellomycetes	100.00	100.00	Tremellales	100.00	98.54	Cryptococcaceae	98.54	98.54	Kwoniella	98.54	98.17	Kwoniella shivajii	98.17
OTU_200	6687	687	2186	3814	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Monoblepharidaceae	Monoblepharis	Monoblepharis macrandra	pass	200	7110.900	100.00	Chytridiomycota	100.00	100.00	Monoblepharidomycetes	100.00	100.00	Monoblepharidales	100.00	100.00	Monoblepharidaceae	100.00	100.00	Monoblepharis	100.00	100.00	Monoblepharis macrandra	100.00
OTU_301	6110	830	1267	4013	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia dekortorum	pass	301	6400.200	100.00	Ascomycota	100.00	100.00	Pichiomycetes	100.00	100.00	Serinales	100.00	100.00	Metschnikowiaceae	100.00	100.00	Metschnikowia	100.00	100.00	Metschnikowia dekortorum	100.00
OTU_284	3852	657	830	2365	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia vanudenii	pass	284	4010.100	100.00	Ascomycota	100.00	100.00	Pichiomycetes	100.00	100.00	Serinales	100.00	100.00	Metschnikowiaceae	100.00	100.00	Metschnikowia	100.00	100.00	Metschnikowia vanudenii	100.00
OTU_24	3846	450	866	2530	1		Microsporidia				Mitosporidium	Mitosporidium daphniae	pass	24	4113.100	100.00	Microsporidia	100.00	NA		0.00	NA		0.00	NA		0.00	100.00	Mitosporidium	100.00	100.00	Mitosporidium daphniae	100.00
OTU_29	3810	31	2282	1497	8		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Gloiocephala	Gloiocephala aquatica	pass	29	4033.200	100.00	Basidiomycota	100.00	100.00	Agaricomycetes	100.00	56.75	Agaricales	56.75	43.21	Physalacriaceae	43.21	41.93	Gloiocephala	41.93	41.93	Gloiocephala aquatica	41.93
OTU_32	3218	693	723	1801	11		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Fimicolochytrium	Fimicolochytrium jonesii	pass	32	3398.800	100.00	Chytridiomycota	100.00	100.00	Chytridiomycetes	100.00	71.20	Spizellomycetales	71.20	65.07	Powellomycetaceae	65.07	25.11	Fimicolochytrium	25.11	23.35	Fimicolochytrium jonesii	23.35
OTU_222	2945	342	904	1699	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia solitaria	pass	222	3140.700	100.00	Mucoromycota	100.00	100.00	Mortierellomycetes	100.00	100.00	Mortierellales	100.00	100.00	Mortierellaceae	100.00	100.00	Linnemannia	100.00	100.00	Linnemannia solitaria	100.00
OTU_205	2728	114	633	1981	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora colombiana	pass	205	2952.900	100.00	Mucoromycota	100.00	100.00	Glomeromycetes	100.00	100.00	Diversisporales	100.00	100.00	Acaulosporaceae	100.00	100.00	Acaulospora	100.00	100.00	Acaulospora colombiana	100.00
OTU_78	2716	602	617	1498	2		Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus magnus	pass	78	2893.500	100.00	Zoopagomycota	100.00	100.00	Basidiobolomycetes	100.00	100.00	Basidiobolales	100.00	100.00	Basidiobolaceae	100.00	100.00	Basidiobolus	100.00	84.22	Basidiobolus magnus	84.22
OTU_229	2645	276	915	1454	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora spurca	pass	229	2791.800	100.00	Mucoromycota	100.00	100.00	Glomeromycetes	100.00	100.00	Diversisporales	100.00	100.00	Diversisporaceae	100.00	100.00	Diversispora	100.00	100.00	Diversispora spurca	100.00
