OTU_ID	Genus	Species	Phylum	Class	Order	Family	total_reads	n_samples	rank	pct_total
OTU_48	Chlamydomonas	Chlamydomonas reinhardtii	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	35082.6	4	1	18.51711492216843
OTU_251	Racocetra	Racocetra crispa	Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	12065.8	4	2	6.368507614256067
OTU_122	Chytridium	Chytridium olla	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	11246.3	4	3	5.935963399211656
OTU_58	Jimgerdemannia	Jimgerdemannia lactiflua	Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	11175.3	4	4	5.898488549586088
OTU_38	Aureobasidium	Aureobasidium pullulans	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	10447.8	4	5	5.514503294619878
OTU_36	Vishniacozyma	Vishniacozyma tephrensis	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	9995.9	4	6	5.275983793974889
OTU_200	Monoblepharis	Monoblepharis macrandra	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Monoblepharidaceae	7110.9	4	7	3.753238143696519
OTU_301	Metschnikowia	Metschnikowia dekortorum	Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	6400.2	4	8	3.3781201770924163
OTU_24	Mitosporidium	Mitosporidium daphniae	Microsporidia				4113.1	4	9	2.170954985844008
OTU_29	Agaricus	Agaricus bisporus	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	4033.2	4	10	2.128782584645657
OTU_284	Metschnikowia	Metschnikowia vanudenii	Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	4010.1	4	11	2.1165900631477608
OTU_32	Spizellomyces	Spizellomyces acuminatus	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	3398.8	4	12	1.7939368860194531
OTU_222	Linnemannia	Linnemannia solitaria	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	3140.7	4	13	1.657707890408761
OTU_205	Acaulospora	Acaulospora colombiana	Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	2952.9	4	14	1.5585842740752158
OTU_78	Basidiobolus	Basidiobolus magnus	Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	2893.5	4	15	1.5272320759377687
OTU_229	Diversispora	Diversispora spurca	Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	2791.8	4	16	1.473553312460018
OTU_97	Dactylidispora	Dactylidispora ellipsospora	Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	2719.3	4	17	1.4352867406592618
OTU_0	Lactarius	Lactarius deliciosus	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	2569.9	4	18	1.356431212010531
OTU_31	Aphanomyces	Aphanomyces astaci	Oomycota	Saprolegniomycetes	Saprolegniales	Verrucalvaceae	2250.1	4	19	1.1876360442604366
OTU_121	Quaeritorhiza	Quaeritorhiza haematococci	Chytridiomycota	Chytridiomycetes		Quaeritorhizaceae	1820.2	4	20	0.9607284688515384
