sample_id	short_id	phylum	reads
barcode19	BC19	Blastocladiomycota	45.27073086884265
barcode19	BC19	Cryptomycota	42.5596182674408
barcode19	BC19	Microsporidia	449.7809206349891
barcode19	BC19	Zoopagomycota	891.6038834018735
barcode19	BC19	Chytridiomycota	3283.7233815616537
barcode19	BC19	Basidiomycota	3060.1236706402656
barcode19	BC19	Mucoromycota	3516.1546246486755
barcode19	BC19	Ascomycota	4382.02042448612
barcode20	BC20	Blastocladiomycota	72.47785910629227
barcode20	BC20	Cryptomycota	156.62350064505134
barcode20	BC20	Microsporidia	865.8363934359983
barcode20	BC20	Zoopagomycota	1180.1441136898977
barcode20	BC20	Chytridiomycota	8048.72947930092
barcode20	BC20	Basidiomycota	10935.178771808845
barcode20	BC20	Mucoromycota	9974.473633422682
barcode20	BC20	Ascomycota	10298.403656218274
barcode21	BC21	Blastocladiomycota	143.46573012387063
barcode21	BC21	Cryptomycota	306.38963936454587
barcode21	BC21	Microsporidia	2529.985067908962
barcode21	BC21	Zoopagomycota	3346.8568164464978
barcode21	BC21	Chytridiomycota	15413.184603154261
barcode21	BC21	Basidiomycota	14342.377437703572
barcode21	BC21	Mucoromycota	22762.875618349302
barcode21	BC21	Ascomycota	25837.457296880562
