sample_id	sample_label	taxon_group	reads	rank
barcode19	BC19	Other	7213	Genus
barcode19	BC19	Chlamydomonas	4777	Genus
barcode19	BC19	Metschnikowia	1531	Genus
barcode19	BC19	Racocetra	1397	Genus
barcode19	BC19	Kwoniella	1386	Genus
barcode19	BC19	Chytridium	1250	Genus
barcode19	BC19	Monoblepharis	687	Genus
barcode19	BC19	Vinositunica	586	Genus
barcode19	BC19	Salinomyces	524	Genus
barcode19	BC19	Mitosporidium	450	Genus
barcode19	BC19	Diversispora	420	Genus
barcode20	BC20	Other	17563	Genus
barcode20	BC20	Chlamydomonas	10128	Genus
barcode20	BC20	Racocetra	3499	Genus
barcode20	BC20	Chytridium	3318	Genus
barcode20	BC20	Salinomyces	2835	Genus
barcode20	BC20	Vinositunica	2570	Genus
barcode20	BC20	Kwoniella	2488	Genus
barcode20	BC20	Metschnikowia	2313	Genus
barcode20	BC20	Monoblepharis	2186	Genus
barcode20	BC20	Diversispora	1302	Genus
barcode20	BC20	Mitosporidium	866	Genus
barcode21	BC21	Other	31441	Genus
barcode21	BC21	Chlamydomonas	18545	Genus
barcode21	BC21	Vinositunica	7468	Genus
barcode21	BC21	Metschnikowia	6903	Genus
barcode21	BC21	Salinomyces	6564	Genus
barcode21	BC21	Racocetra	6353	Genus
barcode21	BC21	Chytridium	6225	Genus
barcode21	BC21	Kwoniella	5640	Genus
barcode21	BC21	Monoblepharis	3814	Genus
barcode21	BC21	Mitosporidium	2530	Genus
barcode21	BC21	Diversispora	2263	Genus
barcode19	BC19	Other	5682	Order
barcode19	BC19	Chlamydomonadales	4777	Order
barcode19	BC19	Diversisporales	2374	Order
barcode19	BC19	Serinales	2036	Order
barcode19	BC19	Tremellales	1386	Order
barcode19	BC19	Chytridiales	1250	Order
barcode19	BC19	Unassigned	770	Order
barcode19	BC19	Monoblepharidales	764	Order
barcode19	BC19	Endogonales	586	Order
barcode19	BC19	Mycosphaerellales	535	Order
barcode19	BC19	Agaricales	61	Order
barcode20	BC20	Chlamydomonadales	10128	Order
barcode20	BC20	Other	9540	Order
barcode20	BC20	Diversisporales	6082	Order
barcode20	BC20	Agaricales	4694	Order
barcode20	BC20	Serinales	3439	Order
barcode20	BC20	Chytridiales	3318	Order
barcode20	BC20	Mycosphaerellales	2881	Order
barcode20	BC20	Endogonales	2570	Order
barcode20	BC20	Tremellales	2488	Order
barcode20	BC20	Monoblepharidales	2383	Order
barcode20	BC20	Unassigned	1545	Order
barcode21	BC21	Other	21598	Order
barcode21	BC21	Chlamydomonadales	18545	Order
barcode21	BC21	Diversisporales	12226	Order
barcode21	BC21	Serinales	9353	Order
barcode21	BC21	Endogonales	7468	Order
barcode21	BC21	Mycosphaerellales	6642	Order
barcode21	BC21	Chytridiales	6225	Order
barcode21	BC21	Tremellales	5640	Order
barcode21	BC21	Unassigned	4284	Order
barcode21	BC21	Monoblepharidales	4064	Order
barcode21	BC21	Agaricales	1701	Order
barcode19	BC19	Chlorophyta	4807	Phylum
barcode19	BC19	Ascomycota	4050	Phylum
barcode19	BC19	Mucoromycota	3401	Phylum
barcode19	BC19	Chytridiomycota	3283	Phylum
barcode19	BC19	Basidiomycota	2758	Phylum
barcode19	BC19	Zoopagomycota	891	Phylum
barcode19	BC19	Oomycota	493	Phylum
barcode19	BC19	Microsporidia	450	Phylum
barcode19	BC19	Blastocladiomycota	45	Phylum
barcode19	BC19	Cryptomycota	43	Phylum
barcode20	BC20	Chlorophyta	10177	Phylum
barcode20	BC20	Mucoromycota	9849	Phylum
barcode20	BC20	Ascomycota	9059	Phylum
barcode20	BC20	Basidiomycota	8813	Phylum
barcode20	BC20	Chytridiomycota	7617	Phylum
barcode20	BC20	Oomycota	1309	Phylum
barcode20	BC20	Zoopagomycota	1168	Phylum
barcode20	BC20	Microsporidia	866	Phylum
barcode20	BC20	Cryptomycota	138	Phylum
barcode20	BC20	Blastocladiomycota	72	Phylum
barcode21	BC21	Mucoromycota	22094	Phylum
barcode21	BC21	Ascomycota	21975	Phylum
barcode21	BC21	Chlorophyta	18630	Phylum
barcode21	BC21	Chytridiomycota	14634	Phylum
barcode21	BC21	Basidiomycota	11246	Phylum
barcode21	BC21	Zoopagomycota	3274	Phylum
barcode21	BC21	Oomycota	2944	Phylum
barcode21	BC21	Microsporidia	2530	Phylum
barcode21	BC21	Cryptomycota	275	Phylum
barcode21	BC21	Blastocladiomycota	144	Phylum
