genus	n_otus	total_reads	mean_abundance
Chrysozyma	5	243.2	2.04375e-4
Hydnum	5	2085.8	0.001604
Metschnikowia	5	10793	0.007856666666666666
Acaulospora	4	3503.2	0.0031195
Clavulina	4	166.5	1.8566666666666666e-4
Gorgonomyces	4	721.9	0.0010243333333333333
Puccinia	4	1766.8999999999999	0.0021957500000000002
Vishniacozyma	4	9736.2	0.009674222222222223
Basidiobolus	3	3007.9	0.00375525
Bulleribasidium	3	46.3	8.033333333333334e-5
Curvularia	3	249	3.35e-4
Kodamaea	3	1473.5	0.001734142857142857
Kondoa	3	118.2	2.1275e-4
Lipomyces	3	701.4	0.0010876666666666667
Starmerella	3	277.8	5.58e-4
Alphamyces	2	32.6	1.56e-4
Amanita	2	43	9.333333333333333e-5
Angulomyces	2	161.1	2.5875e-4
Aphanomyces	2	3189.2000000000003	0.004405333333333333
Apiotrichum	2	226.6	7.385e-4
