scope	pipeline	cohort	sample_id	short_id	sample_plot_label	observed_otus	genera_captured	total_reads	shannon	simpson
Pre-threepoint	Emu based	Ss1	barcode13	BC13	BC13 (Ss1)	179	124	46660	3.4727030892655395	0.9236844725292028
Pre-threepoint	De-novo	Ss1	barcode13	BC13	BC13 (Ss1)	620	234	41273	4.130187825366735	0.9512804989683444
Pre-threepoint	Emu based	Ss1	barcode14	BC14	BC14 (Ss1)	209	146	46740	4.04642784285989	0.9661281492552781
Pre-threepoint	De-novo	Ss1	barcode14	BC14	BC14 (Ss1)	666	253	42752	4.553521316816446	0.9734038764986167
Pre-threepoint	Emu based	Ss1	barcode15	BC15	BC15 (Ss1)	209	145	46813	4.001832049565467	0.96240072236618035
Pre-threepoint	De-novo	Ss1	barcode15	BC15	BC15 (Ss1)	660	251	41983	4.564395739147778	0.9728298014788545
Pre-threepoint	Emu based	Ss2	barcode16	BC16	BC16 (Ss2)	261	190	46412	4.450094733834663	0.9775907254176159
Pre-threepoint	De-novo	Ss2	barcode16	BC16	BC16 (Ss2)	720	268	37529	4.848094277315522	0.9803974989692056
Pre-threepoint	Emu based	Ss2	barcode17	BC17	BC17 (Ss2)	269	199	46745	4.500031935325375	0.9793271731969643
Pre-threepoint	De-novo	Ss2	barcode17	BC17	BC17 (Ss2)	741	272	39308	4.877754798662171	0.9804272792827672
Pre-threepoint	Emu based	Ss2	barcode18	BC18	BC18 (Ss2)	254	189	46603	4.298398428753534	0.9683310707130584
Pre-threepoint	De-novo	Ss2	barcode18	BC18	BC18 (Ss2)	737	264	39712	4.718156023296757	0.9700770761002181
Post-threepoint	Emu based	Ss1	barcode13	BC13	BC13 (Ss1)	165	116	46398	3.442711742710058	0.9228226136044304
Post-threepoint	De-novo	Ss1	barcode13	BC13	BC13 (Ss1)	297	132	39298	3.8716451823179003	0.9462808173308737
Post-threepoint	Emu based	Ss1	barcode14	BC14	BC14 (Ss1)	181	128	46281	3.998202734183532	0.9654567778573699
Post-threepoint	De-novo	Ss1	barcode14	BC14	BC14 (Ss1)	306	138	40361	4.2694221301223205	0.9701800618610077
Post-threepoint	Emu based	Ss1	barcode15	BC15	BC15 (Ss1)	178	126	46246	3.9431637013236935	0.9614785008206388
Post-threepoint	De-novo	Ss1	barcode15	BC15	BC15 (Ss1)	301	135	39369	4.258968259829379	0.9691341399799237
Post-threepoint	Emu based	Ss2	barcode16	BC16	BC16 (Ss2)	221	166	45625	4.376702083201458	0.9768192336273221
Post-threepoint	De-novo	Ss2	barcode16	BC16	BC16 (Ss2)	317	145	35114	4.5370245774696105	0.9776306563869565
Post-threepoint	Emu based	Ss2	barcode17	BC17	BC17 (Ss2)	225	170	45964	4.426710308197206	0.9786260033193258
Post-threepoint	De-novo	Ss2	barcode17	BC17	BC17 (Ss2)	328	148	36530	4.540917734424866	0.9773628311302509
Post-threepoint	Emu based	Ss2	barcode18	BC18	BC18 (Ss2)	226	171	46125	4.251198285776734	0.9676755845212652
Post-threepoint	De-novo	Ss2	barcode18	BC18	BC18 (Ss2)	331	148	37162	4.39716661239267	0.9658504391211769
