genus	total_reads	samples_detected	scope	pipeline	rank_within_pipeline
Pseudotabrizicola	3509	6	Pre-threepoint	De-novo	1
Rubrivivax	711	6	Pre-threepoint	De-novo	2
Ideonella	273	6	Pre-threepoint	De-novo	3
Altererythrobacter	253	6	Pre-threepoint	De-novo	4
Cognatilysobacter	243	6	Pre-threepoint	De-novo	5
Sandaracinobacter	181	6	Pre-threepoint	De-novo	6
Gehongia	162	3	Pre-threepoint	De-novo	7
Moorella	136	3	Pre-threepoint	De-novo	8
Marivivens	125	6	Pre-threepoint	De-novo	9
Babela	114	6	Pre-threepoint	De-novo	10
Dichotomicrobium	101	6	Pre-threepoint	De-novo	11
Methylocapsa	90	6	Pre-threepoint	De-novo	12
Rhizobium	85	6	Pre-threepoint	De-novo	13
Sinanaerobacter	78	6	Pre-threepoint	De-novo	14
Sediminicoccus	76	6	Pre-threepoint	De-novo	15
Craurococcus	65	6	Pre-threepoint	De-novo	16
Variovorax	57	6	Pre-threepoint	De-novo	17
Microvirga	55	6	Pre-threepoint	De-novo	18
Neotabrizicola	55	6	Pre-threepoint	De-novo	19
Rubritepida	53	6	Pre-threepoint	De-novo	20
Desulfuromonas	49	6	Pre-threepoint	De-novo	21
Oleomonas	46	6	Pre-threepoint	De-novo	22
Segnochrobactrum	45	6	Pre-threepoint	De-novo	23
Anaerobium	42	6	Pre-threepoint	De-novo	24
Angelakisella	41	3	Pre-threepoint	De-novo	25
Leptolinea	40	6	Pre-threepoint	De-novo	26
Shinella	37	6	Pre-threepoint	De-novo	27
Thermincola	37	4	Pre-threepoint	De-novo	28
Blastococcus	34	6	Pre-threepoint	De-novo	29
Pseudaquabacterium	34	6	Pre-threepoint	De-novo	30
Syntrophomonas	33	4	Pre-threepoint	De-novo	31
Roseimaritima	32	6	Pre-threepoint	De-novo	32
Pantoea	31	4	Pre-threepoint	De-novo	33
Croceibacterium	30	6	Pre-threepoint	De-novo	34
Geobacter	30	6	Pre-threepoint	De-novo	35
Termitidicoccus	29	5	Pre-threepoint	De-novo	36
Caloranaerobacter	27	3	Pre-threepoint	De-novo	37
Daejeonella	26	4	Pre-threepoint	De-novo	38
Faunimonas	26	6	Pre-threepoint	De-novo	39
Polluticoccus	26	6	Pre-threepoint	De-novo	40
Pararhodonellum	25	6	Pre-threepoint	De-novo	41
Thermaurantiacus	24	5	Pre-threepoint	De-novo	42
Candidatus Mycosynbacter	23	5	Pre-threepoint	De-novo	43
Novispirillum	23	5	Pre-threepoint	De-novo	44
Caulobacter	21	5	Pre-threepoint	De-novo	45
Fuerstiella	21	6	Pre-threepoint	De-novo	46
Flavisolibacter	20	5	Pre-threepoint	De-novo	47
Mesorhizobium	20	6	Pre-threepoint	De-novo	48
Povalibacter	20	5	Pre-threepoint	De-novo	49
Aureliella	19	6	Pre-threepoint	De-novo	50
Bosea	19	6	Pre-threepoint	De-novo	51
Chelatococcus	19	5	Pre-threepoint	De-novo	52
Sphingosinicella	19	5	Pre-threepoint	De-novo	53
Verrucomicrobium	19	6	Pre-threepoint	De-novo	54
Candidatus Nucleicultrix	18	5	Pre-threepoint	De-novo	55
Lentzea	17	4	Pre-threepoint	De-novo	56
Luteolibacter	17	6	Pre-threepoint	De-novo	57
Carboxylicivirga	16	4	Pre-threepoint	De-novo	58
Flavisphingomonas	16	4	Pre-threepoint	De-novo	59
Methylocystis	16	6	Pre-threepoint	De-novo	60
