node	module	degree	strength	betweenness	closeness	Phylum	Class	Order	Family	evidence_category	is_degrader
Abditibacterium	1	1	0.829	0	0.27619	Abditibacteriota	Abditibacteriia	Abditibacteriales	Abditibacteriaceae	NA	FALSE
Acetanaerobacterium	2	73	58.143	6.685	0.001204	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
Acetivibrio	2	53	44.143	750.584	0.001323	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
Acetoanaerobium	3	3	2.314	498	8.17e-4	Bacillota	Clostridia	Peptostreptococcales	Filifactoraceae	NA	FALSE
Acetobacterium	2	73	58.371	3.593	0.001196	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	BOTH	TRUE
Acidilutibacter	2	70	56	13.496	0.0012	Bacillota	Tissierellia	Tissierellales	Acidilutibacteraceae	NA	FALSE
Acidovorax	2	76	62.8	22.721	0.001193	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	POP_BROAD	TRUE
Actinotalea	2	49	41	105.872	0.001316	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	NA	FALSE
Agrobacterium	3	7	5.743	35.5	0.001189	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	POP_BROAD	TRUE
Aliigemmobacter	2	65	53.457	16.964	0.001206	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
Aliitabrizicola	2	68	56.743	23.944	0.001192	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
Alkalibaculum	2	49	41	105.872	0.001316	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	NA	FALSE
Alkaliflexus	4	53	45.4	18.867	9.4e-4	Bacteroidota	Bacteroidia	Marinilabiliales	Marinilabiliaceae	NA	FALSE
Alteraurantiacibacter	2	65	52.943	52.952	0.001203	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	NA	FALSE
Anaerobacterium	2	68	58.686	8.932	0.001175	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
Anaerocolumna	2	65	56.029	4.939	0.001171	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
Anaeromassilibacillus	4	48	40.629	2	9.42e-4	Bacillota	Clostridia	Eubacteriales	Acutalibacteraceae	NA	FALSE
Anaeromyxobacter	4	26	20.171	6678	0.001179	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	BOTH	TRUE
Anaerorhabdus	4	54	47.829	4.419	9.59e-4	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	FALSE
Anaerosporomusa	4	54	47.829	4.419	9.59e-4	Bacillota	Negativicutes	NA	Acetonemataceae	NA	FALSE
Anaerotaenia	2	68	58.686	8.932	0.001175	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
Anaerotignum	2	76	61.314	8.151	0.001201	Bacillota	Clostridia	Lachnospirales	Anaerotignaceae	NA	FALSE
Anoxybacterium	4	54	47.829	4.419	9.59e-4	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	NA	FALSE
Antarcticimicrobium	4	54	47.829	4.419	9.59e-4	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
Aquincola	2	68	58.8	5.335	0.001154	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	NA	FALSE
Aquipluma	4	32	26.914	130	9.02e-4	Bacteroidota	Bacteroidia	Marinilabiliales	Prolixibacteraceae	NA	FALSE
Aridibacter	4	54	47.829	4.419	9.59e-4	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA	FALSE
Aristaeella	4	51	44.829	44.481	0.001065	Bacillota	Clostridia	Eubacteriales	Aristaeellaceae	NA	FALSE
Asprobacter	2	65	53.343	4.975	0.001204	Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	NA	FALSE
Aurantibacillus	2	66	56.229	2.987	0.001181	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Aurantibacillaceae	NA	FALSE
Bdellovibrio	5	1	0.829	0	0.828571	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	NA	FALSE
Beduinella	4	55	46.371	2722.625	0.001079	Bacillota	Clostridia	Eubacteriales	Beduinellaceae	NA	FALSE
Bengtsoniella	4	54	47.829	4.419	9.59e-4	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
Blastomonas	2	76	61.314	8.151	0.001201	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Blastomonadaceae	NA	FALSE
Brevundimonas	2	50	41.257	78.997	0.001326	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	FALSE
Butyricicoccus	4	54	47.829	4.419	9.59e-4	Bacillota	Clostridia	Eubacteriales	Butyricicoccaceae	NA	FALSE
Caenimonas	3	6	5.086	0	0.001052	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA	FALSE
Caldimonas	2	63	50.6	98.402	0.001306	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	NA	FALSE
Caloramator	2	66	56.229	2.987	0.001181	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
Candidatus Accumulibacter	2	73	60.771	10.768	0.001191	Pseudomonadota	Betaproteobacteria	NA	NA	NA	FALSE
Candidatus Babela	3	2	1.486	660	9.87e-4	NA	Candidatus Babeliae	Candidatus Babeliales	Candidatus Babeliaceae	NA	FALSE
Candidatus Borkfalkia	4	50	42.629	35.945	0.00104	Bacillota	Clostridia	Christensenellales	Christensenellaceae	NA	FALSE
Candidatus Chromulinivorax	3	7	6.314	0.667	0.001105	NA	Candidatus Babeliae	Candidatus Babeliales	Candidatus Chromulinivoraceae	NA	FALSE
Candidatus Galacturonatibacter	2	65	56.029	4.939	0.001171	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
