from	to	rho	from_module	to_module
Abditibacterium	Flavobacterium	0.829	1	1
Acetanaerobacterium	Acetivibrio	0.829	2	2
Acetanaerobacterium	Acetobacterium	0.943	2	2
Acetanaerobacterium	Acidilutibacter	0.886	2	2
Acetanaerobacterium	Actinotalea	0.714	2	2
Acetanaerobacterium	Aliigemmobacter	0.886	2	2
Acetanaerobacterium	Aliitabrizicola	0.771	2	2
Acetanaerobacterium	Alkalibaculum	0.714	2	2
Acetanaerobacterium	Anaerobacterium	0.829	2	2
Acetanaerobacterium	Anaerocolumna	0.714	2	2
Acetanaerobacterium	Anaerotaenia	0.829	2	2
Acetanaerobacterium	Aquincola	0.771	2	2
Acetanaerobacterium	Asprobacter	0.714	2	2
Acetanaerobacterium	Aurantibacillus	0.771	2	2
Acetanaerobacterium	Brevundimonas	0.771	2	2
Acetanaerobacterium	Caldimonas	0.771	2	2
Acetanaerobacterium	Caloramator	0.771	2	2
Acetanaerobacterium	Candidatus Accumulibacter	0.886	2	2
Acetanaerobacterium	Candidatus Galacturonatibacter	0.714	2	2
Acetanaerobacterium	Caproicibacter	0.771	2	2
Acetanaerobacterium	Caproiciproducens	0.714	2	2
Acetanaerobacterium	Cytophaga	0.829	2	2
Acetanaerobacterium	Desulfitobacterium	0.714	2	2
Acetanaerobacterium	Desulfosporosinus	0.771	2	2
Acetanaerobacterium	Devosia	0.714	2	2
Acetanaerobacterium	Ethanoligenens	0.771	2	2
Acetanaerobacterium	Faecalispora	0.829	2	2
Acetanaerobacterium	Falsiroseomonas	0.943	2	2
Acetanaerobacterium	Fervidicella	0.771	2	2
Acetanaerobacterium	Fimbriimonas	0.829	2	2
Acetanaerobacterium	Flintibacter	0.771	2	2
Acetanaerobacterium	Fonticella	0.771	2	2
Acetanaerobacterium	Gemmatimonas	0.771	2	2
Acetanaerobacterium	Gemmobacter	0.771	2	2
Acetanaerobacterium	Geofilum	0.714	2	2
Acetanaerobacterium	Hephaestia	0.771	2	2
Acetanaerobacterium	Herbinix	0.829	2	2
Acetanaerobacterium	Hydrogenophaga	0.943	2	2
Acetanaerobacterium	Ilyobacter	0.886	2	2
Acetanaerobacterium	Kaistia	0.714	2	2
Acetanaerobacterium	Lautropia	0.714	2	2
Acetanaerobacterium	Lawsonibacter	0.943	2	2
Acetanaerobacterium	Legionella	0.771	2	2
Acetanaerobacterium	Luteitalea	0.943	2	2
Acetanaerobacterium	Lysobacter	0.771	2	2
Acetanaerobacterium	Marasmitruncus	0.886	2	2
