node	module	degree	strength	betweenness	closeness	genus	species	Phylum	Class	Order	Family	evidence_category	is_degrader
OTU_1	1	75	65.514	30.466	8.45e-4	Desulfitobacterium	Desulfitobacterium dichloroeliminans	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	BOTH	TRUE
OTU_10	2	105	85.114	9.615	9.29e-4	Thermoclostridium	Thermoclostridium caenicola	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_101	1	2	1.714	1	6.37e-4	Labilibaculum	Labilibaculum manganireducens	Bacteroidota	Bacteroidia	Marinilabiliales	Marinifilaceae	NA	FALSE
OTU_103	1	41	32.6	16.105	7.21e-4	Ancylomarina	Ancylomarina euxinus	Bacteroidota	Bacteroidia	Marinilabiliales	Marinifilaceae	NA	FALSE
OTU_104	2	91	75.229	17.495	8.37e-4	Faecalispora	Faecalispora anaeroviscerum	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_105	1	77	67.571	5.017	8.46e-4	Fulvivirga	Fulvivirga ulvae	Bacteroidota	Cytophagia	Cytophagales	Fulvivirgaceae	NA	FALSE
OTU_106	1	43	34.657	0	8.12e-4	Sporobacter	Sporobacter termitidis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_108	2	92	74.114	38.191	9.2e-4	Luteitalea	Luteitalea pratensis	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	FALSE
OTU_109	1	72	61.886	13.137	8.45e-4	Clostridium	Clostridium amylolyticum	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_11	2	96	83.2	15.049	9.51e-4	Desulfosporosinus	Desulfosporosinus paludis	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	NA	FALSE
OTU_111	1	77	68.086	21.229	8.56e-4	Pseudochryseolinea	Pseudochryseolinea flava	Bacteroidota	Cytophagia	Cytophagales	Fulvivirgaceae	NA	FALSE
OTU_113	1	77	67.571	5.017	8.46e-4	Hominenteromicrobium	Hominenteromicrobium mulieris	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_114	1	49	39.914	0.958	7.23e-4	Erysipelothrix	Erysipelothrix inopinata	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	FALSE
OTU_115	2	104	84.343	8.204	9.28e-4	Clostridium	Clostridium subterminale	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_116	3	4	3.086	913	5.58e-4	Propionicimonas	Propionicimonas paludicola	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	NA	FALSE
OTU_117	2	81	65.971	58.203	9.29e-4	Lautropia	Lautropia mirabilis	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA	FALSE
OTU_118	3	9	7.229	0	4.23e-4	Ramlibacter	Ramlibacter humi	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA	FALSE
OTU_119	2	92	77.714	426.906	0.001072	Fonticella	Fonticella tunisiensis	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_12	2	99	84.371	414.671	0.001071	Acetivibrio	Acetivibrio clariflavus	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_120	1	72	61.886	13.137	8.45e-4	Neglectibacter	Neglectibacter timonensis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_121	1	72	61.886	13.137	8.45e-4	Candidatus Borkfalkia	Candidatus Borkfalkia ceftriaxoniphila	Bacillota	Clostridia	Christensenellales	Christensenellaceae	NA	FALSE
OTU_122	1	2	1.6	0	6.16e-4	Bdellovibrio	Bdellovibrio reynosensis	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	NA	FALSE
OTU_123	2	83	66.771	17.3	9.14e-4	Clostridium	Clostridium thermarum	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_124	1	77	67.571	5.017	8.46e-4	Erysipelothrix	Erysipelothrix tonsillarum	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	FALSE
OTU_125	2	104	83.943	16.711	9.39e-4	Oxobacter	Oxobacter pfennigii	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_126	2	101	83.171	438.299	0.001057	Ethanoligenens	Ethanoligenens harbinense	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_127	1	28	20.686	74	6.93e-4	Acetoanaerobium	Acetoanaerobium sticklandii	Bacillota	Clostridia	Peptostreptococcales	Filifactoraceae	NA	FALSE
OTU_128	2	104	87.657	200.477	9.52e-4	Ilyobacter	Ilyobacter delafieldii	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	NA	FALSE
OTU_129	2	104	84.343	8.204	9.28e-4	Clostridium	Clostridium carboxidivorans	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_13	1	77	68.086	21.229	8.56e-4	Pedosphaera	Pedosphaera parvula	Verrucomicrobiota	Pedosphaerae	Pedosphaerales	Pedosphaeraceae	NA	FALSE
OTU_130	1	77	67.571	5.017	8.46e-4	Holdemania	Holdemania massiliensis	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	FALSE
OTU_132	2	96	83.2	15.049	9.51e-4	Clostridium	Clostridium moutaii	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_133	1	75	65.514	30.466	8.45e-4	Christensenella	Christensenella timonensis	Bacillota	Clostridia	Christensenellales	Christensenellaceae	NA	FALSE
OTU_134	3	11	9.514	10	4.76e-4	Clostridium	Clostridium punense	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_135	2	76	62.971	6.954	8.81e-4	Sphingorhabdus	Sphingorhabdus rigui	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingorhabdaceae	POP_BROAD	TRUE
OTU_136	2	98	79.371	158.501	9.32e-4	Roseisolibacter	Roseisolibacter agri	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	NA	FALSE
OTU_139	1	75	65.514	30.466	8.45e-4	Candidatus Saccharimonas	Candidatus Saccharimonas aalborgensis	Candidatus Saccharimonadota	Candidatus Saccharimonadia	Candidatus Saccharimonadales	Candidatus Saccharimonadaceae	NA	FALSE
OTU_14	2	96	76.686	47.494	9.34e-4	Psychrosinus	Psychrosinus fermentans	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	NA	FALSE
OTU_140	1	49	39.914	0.958	7.23e-4	Papillibacter	Papillibacter cinnamivorans	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_142	2	65	52.657	240	8.97e-4	Sphingomonas	Sphingomonas zeicaulis	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_143	1	72	58.457	6.725	8.25e-4	Pumilibacter	Pumilibacter muris	Bacillota	Clostridia	Eubacteriales	Pumilibacteraceae	NA	FALSE
OTU_145	2	92	77.714	426.906	0.001072	Paludihabitans	Paludihabitans psychrotolerans	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_146	1	77	67.571	5.017	8.46e-4	Tabrizicola	Tabrizicola flagellatus	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
OTU_147	2	77	62.143	21.128	9.08e-4	Acetivibrio	Acetivibrio alkalicellulosi	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_148	2	92	74.057	61.666	9.23e-4	Alteraurantiacibacter	Alteraurantiacibacter palmitatis	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	NA	FALSE
OTU_149	3	10	8.914	235	4.33e-4	Falsiroseomonas	Falsiroseomonas bella	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	NA	FALSE
OTU_151	1	77	67.571	5.017	8.46e-4	Anaerorhabdus	Anaerorhabdus furcosa	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	FALSE
OTU_153	1	76	64.971	114.277	8.45e-4	Dysgonomonas	Dysgonomonas termitidis	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	FALSE
OTU_154	1	73	59.857	46.905	8.19e-4	Ruminiclostridium	Ruminiclostridium cellobioparum	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_155	4	4	3.2	8030.827	9.96e-4	Colidextribacter	Colidextribacter massiliensis	Bacillota	Clostridia	Eubacteriales	NA	NA	FALSE
OTU_156	2	76	62.971	6.954	8.81e-4	Actinotalea	Actinotalea subterranea	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	NA	FALSE
OTU_157	1	39	31	0.489	7.93e-4	Dehalobacter	Dehalobacter restrictus	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	BOTH	TRUE
OTU_158	2	104	83.943	16.711	9.39e-4	Sphingomonas	Sphingomonas gilva	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_159	2	91	75.229	17.495	8.37e-4	Novosphingobium	Novosphingobium hassiacum	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	POP_BROAD	TRUE
OTU_16	2	95	80.143	10.711	9.55e-4	Desulfitobacterium	Desulfitobacterium nosdiversum	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	BOTH	TRUE
OTU_160	3	3	2.314	0	3.85e-4	Hyphomicrobium	Hyphomicrobium nitrativorans	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	NA	FALSE
OTU_161	1	77	67.571	5.017	8.46e-4	Aridibacter	Aridibacter kavangonensis	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA	FALSE
OTU_163	2	105	87.4	50.611	9.59e-4	Acetivibrio	Acetivibrio cellulolyticus	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_165	2	100	83.543	30.2	9.27e-4	Sphingopyxis	Sphingopyxis witflariensis	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingopyxidaceae	POP_BROAD	TRUE
OTU_167	1	77	67.571	5.017	8.46e-4	Butyricicoccus	Butyricicoccus pullicaecorum	Bacillota	Clostridia	Eubacteriales	Butyricicoccaceae	NA	FALSE
OTU_17	1	71	60.371	98.373	8.51e-4	Yanshouia	Yanshouia hominis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_170	1	72	58.457	6.725	8.25e-4	Macellibacteroides	Macellibacteroides fermentans	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA	FALSE
OTU_171	4	6	5.257	0	8.79e-4	Lawsonibacter	Lawsonibacter asaccharolyticus	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_172	2	76	62.971	6.954	8.81e-4	Alkalibaculum	Alkalibaculum sporogenes	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	NA	FALSE
OTU_173	2	92	77.714	426.906	0.001072	Caloramator	Caloramator viterbiensis	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_174	1	72	61.886	13.137	8.45e-4	Mageeibacillus	Mageeibacillus indolicus	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_175	2	79	65.457	16.142	8.98e-4	Tabrizicola	Tabrizicola thermarum	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
OTU_177	4	6	4.743	14310	0.001077	Clostridium	Clostridium cylindrosporum	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_178	2	77	62.143	21.128	9.08e-4	Erythrobacter	Erythrobacter colymbi	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	NA	FALSE
OTU_179	2	99	84.371	414.671	0.001071	Anaerotaenia	Anaerotaenia torta	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
OTU_18	2	101	82.714	34.348	9.43e-4	Opitutus	Opitutus terrae	Verrucomicrobiota	Opitutia	Opitutales	Opitutaceae	NA	FALSE
OTU_180	2	79	66.6	15.516	8.19e-4	Sandarakinorhabdus	Sandarakinorhabdus rubra	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	NA	FALSE
OTU_181	2	105	84.086	13.779	9.43e-4	Lysobacter	Lysobacter helvus	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	NA	FALSE
OTU_182	2	105	87.4	50.611	9.59e-4	Falsiroseomonas	Falsiroseomonas oryzae	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	NA	FALSE
OTU_183	1	71	60.371	98.373	8.51e-4	Anaeromassilibacillus	Anaeromassilibacillus senegalensis	Bacillota	Clostridia	Eubacteriales	Acutalibacteraceae	NA	FALSE
OTU_184	2	104	87.657	200.477	9.52e-4	Anaerocolumna	Anaerocolumna cellulosilytica	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
OTU_186	1	39	32.829	1936.851	9.2e-4	Provencibacterium	Provencibacterium massiliense	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_189	2	96	83.2	15.049	9.51e-4	Hephaestia	Hephaestia mangrovi	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	FALSE
OTU_19	1	77	67.571	5.017	8.46e-4	Gracilibacter	Gracilibacter thermotolerans	Bacillota	Clostridia	Eubacteriales	Gracilibacteraceae	NA	FALSE
