node	module	degree	strength	betweenness	closeness	Phylum	Class	Order	evidence_category	is_degrader
Abditibacteriaceae	1	3	2.429	15	0.009695	Abditibacteriota	Abditibacteriia	Abditibacteriales	NA	FALSE
Acetobacteraceae	2	21	17.457	1.016	0.011711	Pseudomonadota	Alphaproteobacteria	Acetobacterales	NA	FALSE
Acetonemataceae	3	26	22.8	6.565	0.021763	Bacillota	Negativicutes	NA	NA	FALSE
Acidilutibacteraceae	2	38	30.343	3.794	0.015034	Bacillota	Tissierellia	Tissierellales	NA	FALSE
Acutalibacteraceae	2	34	29.829	8.446	0.01526	Bacillota	Clostridia	Eubacteriales	NA	FALSE
Alcaligenaceae	2	28	22.4	13.66	0.01292	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	FALSE
Anaerolineaceae	3	26	22.857	6.367	0.020365	Chloroflexota	Anaerolineae	Anaerolineales	NA	FALSE
Anaeromyxobacteraceae	3	13	10.086	0	0.014722	Myxococcota	Myxococcia	Myxococcales	BOTH	TRUE
Anaerotignaceae	2	35	27.229	2.383	0.014176	Bacillota	Clostridia	Lachnospirales	NA	FALSE
Anaerovoracaceae	3	26	22.8	6.565	0.021763	Bacillota	Clostridia	Peptostreptococcales	NA	FALSE
Aristaeellaceae	3	25	21.343	1.867	0.019126	Bacillota	Clostridia	Eubacteriales	NA	FALSE
Aurantibacillaceae	2	34	29.829	8.446	0.01526	Bacteroidota	Sphingobacteriia	Sphingobacteriales	NA	FALSE
Beduinellaceae	3	26	21.943	21.2	0.019813	Bacillota	Clostridia	Eubacteriales	NA	FALSE
Blastocatellaceae	3	26	22.8	6.565	0.021763	Acidobacteriota	Blastocatellia	Blastocatellales	NA	FALSE
Blastomonadaceae	2	35	27.629	6	0.014348	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	NA	FALSE
Bryobacteraceae	3	28	24.514	3.333	0.022809	Acidobacteriota	Terriglobia	Bryobacterales	NA	FALSE
Burkholderiaceae	2	37	30.6	40.499	0.015585	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	FALSE
Butyricicoccaceae	3	26	22.8	6.565	0.021763	Bacillota	Clostridia	Eubacteriales	NA	FALSE
Candidatus Chromulinivoraceae	4	5	4.657	0	0.130774	NA	Candidatus Babeliae	Candidatus Babeliales	NA	FALSE
Candidatus Saccharimonadaceae	3	26	22.857	6.367	0.020365	Candidatus Saccharimonadota	Candidatus Saccharimonadia	Candidatus Saccharimonadales	NA	FALSE
Caulobacteraceae	2	21	17.457	1.016	0.011711	Pseudomonadota	Alphaproteobacteria	Caulobacterales	NA	FALSE
Cellulomonadaceae	2	21	17.457	1.016	0.011711	Actinomycetota	Actinomycetes	Micrococcales	NA	FALSE
Chitinophagaceae	3	25	21.171	0.667	0.019381	Bacteroidota	Chitinophagia	Chitinophagales	NA	FALSE
Christensenellaceae	3	13	10.143	0	0.014289	Bacillota	Clostridia	Christensenellales	NA	FALSE
Clostridiaceae	2	34	29.829	8.446	0.01526	Bacillota	Clostridia	Eubacteriales	NA	FALSE
Comamonadaceae	2	34	29.257	1.77	0.01486	Pseudomonadota	Betaproteobacteria	Burkholderiales	POP_BROAD	TRUE
Cytophagaceae	2	36	30.229	17.917	0.015154	Bacteroidota	Cytophagia	Cytophagales	NA	FALSE
