from	to	rho	from_module	to_module
Abditibacteriaceae	Eubacteriales Family XII. Incertae Sedis	0.829	1	1
Abditibacteriaceae	Flavobacteriaceae	0.829	1	1
Abditibacteriaceae	Prolixibacteraceae	0.771	1	3
Acetobacteraceae	Acidilutibacteraceae	0.771	2	2
Acetobacteraceae	Alcaligenaceae	0.943	2	2
Acetobacteraceae	Anaerotignaceae	0.714	2	2
Acetobacteraceae	Blastomonadaceae	0.771	2	2
Acetobacteraceae	Burkholderiaceae	0.714	2	2
Acetobacteraceae	Caulobacteraceae	1	2	2
Acetobacteraceae	Cellulomonadaceae	1	2	2
Acetobacteraceae	Cytophagaceae	0.771	2	2
Acetobacteraceae	Devosiaceae	0.943	2	2
Acetobacteraceae	Erythrobacteraceae	1	2	2
Acetobacteraceae	Eubacteriaceae	0.714	2	2
Acetobacteraceae	Hyphomonadaceae	0.771	2	2
Acetobacteraceae	Marinilabiliaceae	0.771	2	2
Acetobacteraceae	Peptococcaceae	0.771	2	2
Acetobacteraceae	Rhodocyclaceae	0.771	2	2
Acetobacteraceae	Roseobacteraceae	0.886	2	2
Acetobacteraceae	Roseomonadaceae	0.943	2	2
Acetobacteraceae	Rubricoccaceae	0.714	2	2
Acetobacteraceae	Sphingorhabdaceae	0.829	2	2
Acetobacteraceae	Sphingosinicellaceae	0.886	2	2
Acetobacteraceae	Vicinamibacteraceae	0.771	2	2
Acetonemataceae	Anaerolineaceae	0.829	3	3
Acetonemataceae	Anaerovoracaceae	1	3	3
Acetonemataceae	Aristaeellaceae	0.771	3	3
Acetonemataceae	Beduinellaceae	0.886	3	3
Acetonemataceae	Blastocatellaceae	1	3	3
Acetonemataceae	Bryobacteraceae	0.943	3	3
Acetonemataceae	Butyricicoccaceae	1	3	3
Acetonemataceae	Candidatus Saccharimonadaceae	0.829	3	3
Acetonemataceae	Chitinophagaceae	0.943	3	3
Acetonemataceae	Dysgonomonadaceae	0.943	3	3
Acetonemataceae	Erysipelotrichaceae	0.829	3	3
Acetonemataceae	Fulvivirgaceae	1	3	3
Acetonemataceae	Gracilibacteraceae	1	3	3
Acetonemataceae	Hujiaoplasmataceae	0.771	3	3
Acetonemataceae	Lentimicrobiaceae	0.771	3	3
Acetonemataceae	Longimicrobiaceae	0.943	3	3
Acetonemataceae	Lutisporaceae	0.829	3	3
Acetonemataceae	Nitrobacteraceae	0.829	3	3
Acetonemataceae	Paludibacteraceae	0.886	3	3
Acetonemataceae	Pedosphaeraceae	0.943	3	3
Acetonemataceae	Pleomorphomonadaceae	0.771	3	3
Acetonemataceae	Porphyromonadaceae	0.771	3	3
Acetonemataceae	Prolixibacteraceae	0.771	3	3
Acetonemataceae	Rhodospirillaceae	0.943	3	3
Acetonemataceae	Sphingobiaceae	0.829	3	3
Acetonemataceae	Tannerellaceae	0.771	3	3
Acidilutibacteraceae	Acutalibacteraceae	0.771	2	2
Acidilutibacteraceae	Alcaligenaceae	0.714	2	2
Acidilutibacteraceae	Aurantibacillaceae	0.771	2	2
Acidilutibacteraceae	Caulobacteraceae	0.771	2	2
Acidilutibacteraceae	Cellulomonadaceae	0.771	2	2
Acidilutibacteraceae	Clostridiaceae	0.771	2	2
Acidilutibacteraceae	Comamonadaceae	0.829	2	2
Acidilutibacteraceae	Cytophagaceae	0.886	2	2
Acidilutibacteraceae	Desulfitobacteriaceae	0.829	2	2
Acidilutibacteraceae	Devosiaceae	0.829	2	2
Acidilutibacteraceae	Erythrobacteraceae	0.771	2	2
Acidilutibacteraceae	Eubacteriaceae	0.943	2	2
Acidilutibacteraceae	Fimbriimonadaceae	0.771	2	2
Acidilutibacteraceae	Fusobacteriaceae	0.829	2	2
Acidilutibacteraceae	Gemmatimonadaceae	0.771	2	2
Acidilutibacteraceae	Kaistiaceae	0.829	2	2
Acidilutibacteraceae	Lachnospiraceae	0.714	2	2
Acidilutibacteraceae	Legionellaceae	0.771	2	2
Acidilutibacteraceae	Lysobacteraceae	0.714	2	2
Acidilutibacteraceae	Marinilabiliaceae	0.886	2	2
Acidilutibacteraceae	Methylophilaceae	0.714	2	2
Acidilutibacteraceae	Opitutaceae	0.829	2	2
Acidilutibacteraceae	Oscillospiraceae	0.714	2	2
Acidilutibacteraceae	Paracoccaceae	0.771	2	2
Acidilutibacteraceae	Rhodocyclaceae	0.886	2	2
Acidilutibacteraceae	Roseobacteraceae	0.771	2	2
Acidilutibacteraceae	Roseomonadaceae	0.829	2	2
Acidilutibacteraceae	Rubricoccaceae	0.943	2	2
Acidilutibacteraceae	Sphaerotilaceae	0.771	2	2
Acidilutibacteraceae	Sphingomonadaceae	0.771	2	2
Acidilutibacteraceae	Sphingopyxidaceae	0.771	2	2
Acidilutibacteraceae	Sphingorhabdaceae	0.943	2	2
Acidilutibacteraceae	Sphingosinicellaceae	0.771	2	2
Acidilutibacteraceae	Sporomusaceae	0.714	2	2
Acidilutibacteraceae	Steroidobacteraceae	0.771	2	2
Acidilutibacteraceae	Vicinamibacteraceae	0.886	2	2
Acidilutibacteraceae	Xylanivirgaceae	0.771	2	2
Acutalibacteraceae	Alcaligenaceae	0.771	2	2
Acutalibacteraceae	Anaerotignaceae	0.714	2	2
Acutalibacteraceae	Aurantibacillaceae	1	2	2
Acutalibacteraceae	Blastomonadaceae	0.771	2	2
Acutalibacteraceae	Burkholderiaceae	0.886	2	2
Acutalibacteraceae	Clostridiaceae	1	2	2
Acutalibacteraceae	Comamonadaceae	0.943	2	2
Acutalibacteraceae	Cytophagaceae	0.943	2	2
Acutalibacteraceae	Desulfitobacteriaceae	0.943	2	2
Acutalibacteraceae	Eubacteriaceae	0.714	2	2
Acutalibacteraceae	Fimbriimonadaceae	1	2	2
Acutalibacteraceae	Fusobacteriaceae	0.771	2	2
Acutalibacteraceae	Gemmatimonadaceae	0.829	2	2
Acutalibacteraceae	Kaistiaceae	0.943	2	2
Acutalibacteraceae	Lachnospiraceae	0.943	2	2
Acutalibacteraceae	Legionellaceae	1	2	2
Acutalibacteraceae	Lysobacteraceae	0.943	2	2
Acutalibacteraceae	Marinifilaceae	0.771	2	2
Acutalibacteraceae	Marinilabiliaceae	0.943	2	2
Acutalibacteraceae	Methylophilaceae	0.943	2	2
Acutalibacteraceae	Opitutaceae	0.943	2	2
Acutalibacteraceae	Oscillospiraceae	0.943	2	2
Acutalibacteraceae	Paracoccaceae	0.829	2	2
Acutalibacteraceae	Peptococcaceae	0.771	2	2
Acutalibacteraceae	Rhodocyclaceae	0.771	2	2
Acutalibacteraceae	Roseomonadaceae	0.771	2	2
Acutalibacteraceae	Rubricoccaceae	0.886	2	2
Acutalibacteraceae	Sphaerotilaceae	1	2	2
Acutalibacteraceae	Sphingomonadaceae	0.886	2	2
Acutalibacteraceae	Sporomusaceae	0.943	2	2
Acutalibacteraceae	Steroidobacteraceae	0.886	2	2
