from	to	rho	from_module	to_module
Abditibacteriales	Marinilabiliales	0.771	1	1
Acetobacterales	Burkholderiales	0.771	2	2
Acetobacterales	Caulobacterales	0.943	2	2
Acetobacterales	Cytophagales	0.714	2	2
Acetobacterales	Eubacteriales	0.886	2	2
Acetobacterales	Gemmatimonadales	0.943	2	2
Acetobacterales	Hyphomicrobiales	0.886	2	2
Acetobacterales	Hyphomonadales	0.771	2	2
Acetobacterales	Lachnospirales	0.714	2	2
Acetobacterales	Legionellales	0.771	2	2
Acetobacterales	Lysobacterales	0.771	2	2
Acetobacterales	Micrococcales	0.886	2	2
Acetobacterales	Nitrosomonadales	0.714	2	2
Acetobacterales	Rhodobacterales	0.943	2	2
Acetobacterales	Rhodocyclales	0.886	2	2
Acetobacterales	Rhodothermales	0.886	2	2
Acetobacterales	Selenomonadales	0.714	2	2
Acetobacterales	Sphingobacteriales	0.771	2	2
Acetobacterales	Sphingomonadales	0.886	2	2
Acetobacterales	Tissierellales	0.943	2	2
Acetobacterales	Vicinamibacterales	0.886	2	2
Acidimicrobiales	Candidatus Babeliales	0.714	3	3
Acidimicrobiales	Propionibacteriales	0.829	3	3
Acidimicrobiales	Rhodospirillales	0.886	3	3
Anaerolineales	Bacteroidales	1	1	1
Anaerolineales	Blastocatellales	0.829	1	1
Anaerolineales	Bryobacterales	0.943	1	1
Anaerolineales	Candidatus Izemoplasmatales	0.943	1	1
Anaerolineales	Candidatus Saccharimonadales	1	1	1
Anaerolineales	Chitinophagales	0.771	1	1
Anaerolineales	Christensenellales	0.943	1	1
Anaerolineales	Longimicrobiales	0.771	1	1
Anaerolineales	Myxococcales	0.943	1	1
Anaerolineales	Pedosphaerales	0.943	1	1
Anaerolineales	Peptostreptococcales	0.714	1	1
Bacteroidales	Blastocatellales	0.829	1	1
Bacteroidales	Bryobacterales	0.943	1	1
Bacteroidales	Candidatus Izemoplasmatales	0.943	1	1
Bacteroidales	Candidatus Saccharimonadales	1	1	1
Bacteroidales	Chitinophagales	0.771	1	1
Bacteroidales	Christensenellales	0.943	1	1
Bacteroidales	Longimicrobiales	0.771	1	1
Bacteroidales	Myxococcales	0.943	1	1
Bacteroidales	Pedosphaerales	0.943	1	1
Bacteroidales	Peptostreptococcales	0.714	1	1
Bdellovibrionales	Geobacterales	0.829	4	4
Blastocatellales	Bryobacterales	0.943	1	1
Blastocatellales	Candidatus Izemoplasmatales	0.771	1	1
Blastocatellales	Candidatus Saccharimonadales	0.829	1	1
Blastocatellales	Chitinophagales	0.943	1	1
Blastocatellales	Christensenellales	0.714	1	1
Blastocatellales	Erysipelotrichales	0.829	1	1
Blastocatellales	Longimicrobiales	0.943	1	1
Blastocatellales	Lutisporales	0.829	1	1
Blastocatellales	Marinilabiliales	0.943	1	1
Blastocatellales	Myxococcales	0.771	1	1
Blastocatellales	Pedosphaerales	0.943	1	1
Blastocatellales	Peptostreptococcales	0.886	1	1
Bryobacterales	Candidatus Izemoplasmatales	0.829	1	1
Bryobacterales	Candidatus Saccharimonadales	0.943	1	1
Bryobacterales	Chitinophagales	0.829	1	1
Bryobacterales	Christensenellales	0.886	1	1
Bryobacterales	Erysipelotrichales	0.771	1	1
Bryobacterales	Longimicrobiales	0.829	1	1
Bryobacterales	Lutisporales	0.771	1	1
Bryobacterales	Marinilabiliales	0.829	1	1
Bryobacterales	Myxococcales	0.886	1	1
Bryobacterales	Pedosphaerales	1	1	1
Bryobacterales	Peptostreptococcales	0.771	1	1
Burkholderiales	Caldicoprobacterales	0.886	2	2
Burkholderiales	Cytophagales	0.943	2	2
Burkholderiales	Eubacteriales	0.943	2	2
Burkholderiales	Fusobacteriales	0.771	2	2
Burkholderiales	Gemmatimonadales	0.714	2	2
Burkholderiales	Lachnospirales	0.943	2	2
Burkholderiales	Legionellales	1	2	2
Burkholderiales	Lysobacterales	0.829	2	2
Burkholderiales	Nitrosomonadales	0.943	2	2
Burkholderiales	Opitutales	0.943	2	2
Burkholderiales	Rhodobacterales	0.714	2	2
Burkholderiales	Rhodocyclales	0.771	2	2
