target	length	mapped	mapped_pct	mapped_per_kbp
Ps_aeruginosa_AF087482_clca	786	802	43.07	1020.36
Diaphorobacter_sp_CP065406_clca	783	802	43.07	1024.27
Sphingobium_yanoikuyae_CP023741_catB2	580	230	12.35	396.55
Bk_cepacia_clca	537	23	1.24	42.83
Novosphing_resinovorum_CP017076_catB2	644	5	0.27	7.76
Ps_solani_CP146285_BpHc	1128	0	0.00	0.00
Ps_tohinis_AP023189_BpHc	1127	0	0.00	0.00
Ps_denitrificans_CP043626_BpHc	1122	0	0.00	0.00
Bk_cepacia_CP095496_BpHc	1119	0	0.00	0.00
Diaphorobacter_sp_KC691251_ntDAa	1344	0	0.00	0.00
Ps_sturtzi_CU181397_ntDAa	1344	0	0.00	0.00
Bk_multivorans_CP008730_ntDAa	1344	0	0.00	0.00
Paraburk_aromaticvorans_CP022992__ntDAa	1328	0	0.00	0.00
