target	length	barcode01_mapped	barcode02_mapped	barcode03_mapped	barcode04_mapped	unclassified_mapped
Ps_aeruginosa_AF087482_clca	786	802	744	2498	2532	114
Diaphorobacter_sp_CP065406_clca	783	802	744	2498	2530	114
Sphingobium_yanoikuyae_CP023741_catB2	580	230	182	483	493	33
Bk_cepacia_clca	537	23	24	74	113	8
Novosphing_resinovorum_CP017076_catB2	644	5	4	119	111	9
Ps_solani_CP146285_BpHc	1128	0	0	0	0	0
Ps_tohinis_AP023189_BpHc	1127	0	0	16	15	2
Ps_denitrificans_CP043626_BpHc	1122	0	0	6	1	1
Bk_cepacia_CP095496_BpHc	1119	0	0	1	0	0
Diaphorobacter_sp_KC691251_ntDAa	1344	0	0	0	0	0
Ps_sturtzi_CU181397_ntDAa	1344	0	0	0	0	0
Bk_multivorans_CP008730_ntDAa	1344	0	0	0	0	0
Paraburk_aromaticvorans_CP022992__ntDAa	1328	0	0	0	0	0
